id_registro,id_inmueble,anio_mes_dd,consumo_kwh_mes,costo_factura_usd,costo_factura_moneda_local,codigo_moneda,perfil_calculado
REG-00064,VIV-00064,2026-07-01,397.37,298.03,5513.55,MXN,Ineficiente
REG-00065,VIV-00065,2026-07-01,294.58,220.94,1204.12,BRL,Moderado
REG-00066,VIV-00066,2026-07-01,291.24,218.43,895563.0,COP,Moderado
REG-00067,VIV-00067,2026-07-01,384.21,288.16,273752.0,ARS,Ineficiente
REG-00068,VIV-00068,2026-07-01,339.26,254.44,1386.7,BRL,Moderado
REG-00069,COM-00069,2026-07-01,1654.42,1240.82,6762.47,BRL,Eficiente
REG-00070,VIV-00070,2026-07-01,361.69,271.27,257706.5,ARS,Moderado
REG-00071,VIV-00071,2026-07-01,284.65,213.49,1163.52,BRL,Moderado
REG-00072,VIV-00072,2026-07-01,263.83,197.87,811267.0,COP,Eficiente
REG-00073,VIV-00073,2026-07-01,306.61,229.96,4254.26,MXN,Moderado
REG-00074,VIV-00074,2026-07-01,429.12,321.84,305748.0,ARS,Ineficiente
REG-00075,VIV-00075,2026-07-01,383.22,287.42,1566.44,BRL,Ineficiente
REG-00076,COM-00076,2026-07-01,1562.92,1172.19,4395.71,PEN,Ineficiente
REG-00077,VIV-00077,2026-07-01,411.78,308.83,5713.35,MXN,Ineficiente
REG-00078,VIV-00078,2026-07-01,412.5,309.38,284629.6,CLP,Ineficiente
REG-00079,VIV-00079,2026-07-01,267.22,200.42,1092.29,BRL,Eficiente
REG-00080,COM-00080,2026-07-01,2759.42,2069.57,1904004.4,CLP,Moderado
REG-00081,VIV-00081,2026-07-01,289.58,217.19,1183.69,BRL,Moderado
REG-00082,COM-00082,2026-07-01,3293.35,2470.01,2346509.5,ARS,Ineficiente
REG-00083,COM-00083,2026-07-01,1372.3,1029.22,977759.0,ARS,Moderado
REG-00084,VIV-00084,2026-07-01,225.43,169.07,634.01,PEN,Eficiente
REG-00085,VIV-00085,2026-07-01,391.05,293.29,5425.87,MXN,Ineficiente
REG-00086,VIV-00086,2026-07-01,389.92,292.44,1593.8,BRL,Ineficiente
REG-00087,VIV-00087,2026-07-01,268.81,201.61,185481.2,CLP,Eficiente
REG-00088,VIV-00088,2026-07-01,399.95,299.96,284962.0,ARS,Ineficiente
REG-00089,VIV-00089,2026-07-01,227.88,170.91,640.91,PEN,Eficiente
REG-00090,VIV-00090,2026-07-01,221.91,166.43,624.11,PEN,Eficiente
REG-00091,VIV-00091,2026-07-01,342.43,256.82,4751.17,MXN,Moderado
REG-00092,VIV-00092,2026-07-01,297.55,223.16,4128.46,MXN,Moderado
REG-00093,COM-00093,2026-07-01,1796.99,1347.74,5054.02,PEN,Eficiente
REG-00094,COM-00094,2026-07-01,2239.45,1679.59,9153.77,BRL,Eficiente
REG-00095,VIV-00095,2026-07-01,348.65,261.49,1072109.0,COP,Moderado
REG-00096,COM-00096,2026-07-01,904.58,678.44,624164.8,CLP,Ineficiente
REG-00097,COM-00097,2026-07-01,1046.2,784.65,14516.02,MXN,Eficiente
REG-00098,VIV-00098,2026-07-01,218.75,164.06,155857.0,ARS,Eficiente
REG-00099,VIV-00099,2026-07-01,380.74,285.56,5282.86,MXN,Ineficiente
REG-00100,COM-00100,2026-07-01,2666.21,1999.66,8198606.0,COP,Ineficiente
REG-00101,VIV-00101,2026-07-01,242.58,181.94,991.57,BRL,Eficiente
REG-00102,COM-00102,2026-07-01,2114.78,1586.09,5947.84,PEN,Ineficiente
REG-00103,VIV-00103,2026-07-01,249.59,187.19,701.96,PEN,Eficiente
REG-00104,VIV-00104,2026-07-01,289.06,216.8,199456.0,CLP,Moderado
REG-00105,COM-00105,2026-07-01,1516.14,1137.11,1046141.2,CLP,Ineficiente
REG-00106,COM-00106,2026-07-01,2099.22,1574.41,1448457.2,CLP,Ineficiente
REG-00107,COM-00107,2026-07-01,2833.95,2125.46,39321.01,MXN,Ineficiente
REG-00108,VIV-00108,2026-07-01,222.15,166.61,3082.29,MXN,Eficiente
REG-00109,VIV-00109,2026-07-01,276.75,207.56,850996.0,COP,Moderado
REG-00110,VIV-00110,2026-07-01,429.89,322.42,1209.08,PEN,Ineficiente
REG-00111,VIV-00111,2026-07-01,229.77,172.33,3188.11,MXN,Eficiente
REG-00112,VIV-00112,2026-07-01,391.1,293.33,1099.99,PEN,Ineficiente
REG-00113,VIV-00113,2026-07-01,292.36,219.27,208306.5,ARS,Moderado
REG-00114,VIV-00114,2026-07-01,341.34,256.0,960.0,PEN,Moderado
REG-00115,COM-00115,2026-07-01,2695.55,2021.66,8288806.0,COP,Moderado
REG-00116,COM-00116,2026-07-01,2369.54,1777.15,1688292.5,ARS,Moderado
REG-00117,VIV-00117,2026-07-01,288.78,216.58,199253.6,CLP,Moderado
REG-00118,VIV-00118,2026-07-01,384.71,288.53,1182973.0,COP,Ineficiente
REG-00119,VIV-00119,2026-07-01,347.88,260.91,240037.2,CLP,Moderado
REG-00120,VIV-00120,2026-07-01,410.63,307.97,5697.45,MXN,Ineficiente
REG-00121,COM-00121,2026-07-01,2170.22,1627.66,30111.71,MXN,Moderado
REG-00122,COM-00122,2026-07-01,1476.31,1107.23,1018651.6,CLP,Eficiente
REG-00123,VIV-00123,2026-07-01,373.59,280.19,266180.5,ARS,Ineficiente
REG-00124,VIV-00124,2026-07-01,279.79,209.84,3882.04,MXN,Moderado
REG-00125,COM-00125,2026-07-01,3220.03,2415.02,2294269.0,ARS,Ineficiente
REG-00126,VIV-00126,2026-07-01,395.44,296.58,272853.6,CLP,Ineficiente
REG-00127,VIV-00127,2026-07-01,359.38,269.53,1468.94,BRL,Moderado
REG-00128,VIV-00128,2026-07-01,363.62,272.72,1486.32,BRL,Moderado
REG-00129,COM-00129,2026-07-01,2163.25,1622.44,1541318.0,ARS,Ineficiente
REG-00130,VIV-00130,2026-07-01,287.37,215.53,808.24,PEN,Moderado
REG-00131,VIV-00131,2026-07-01,226.83,170.12,697492.0,COP,Eficiente
REG-00132,COM-00132,2026-07-01,1188.36,891.27,3342.26,PEN,Moderado
REG-00133,VIV-00133,2026-07-01,405.79,304.34,1658.65,BRL,Ineficiente
REG-00134,VIV-00134,2026-07-01,264.31,198.23,743.36,PEN,Eficiente
REG-00135,VIV-00135,2026-07-01,373.16,279.87,1049.51,PEN,Ineficiente
REG-00136,VIV-00136,2026-07-01,235.28,176.46,723486.0,COP,Eficiente
REG-00137,VIV-00137,2026-07-01,232.51,174.38,653.92,PEN,Eficiente
REG-00138,VIV-00138,2026-07-01,404.82,303.62,1654.73,BRL,Ineficiente
REG-00139,VIV-00139,2026-07-01,261.12,195.84,186048.0,ARS,Eficiente
REG-00140,VIV-00140,2026-07-01,395.79,296.84,1113.15,PEN,Ineficiente
REG-00141,VIV-00141,2026-07-01,355.54,266.66,245327.2,CLP,Moderado
REG-00142,VIV-00142,2026-07-01,360.62,270.47,1014.26,PEN,Moderado
REG-00143,VIV-00143,2026-07-01,377.38,283.03,268878.5,ARS,Ineficiente
REG-00144,VIV-00144,2026-07-01,427.18,320.38,1313558.0,COP,Ineficiente
REG-00145,VIV-00145,2026-07-01,359.35,269.51,256034.5,ARS,Moderado
REG-00146,VIV-00146,2026-07-01,370.89,278.17,1043.14,PEN,Ineficiente
REG-00147,COM-00147,2026-07-01,1479.38,1109.54,4160.77,PEN,Moderado
REG-00148,VIV-00148,2026-07-01,287.28,215.46,1174.26,BRL,Moderado
REG-00149,COM-00149,2026-07-01,1058.93,794.2,754490.0,ARS,Eficiente
REG-00150,VIV-00150,2026-07-01,319.3,239.48,1305.17,BRL,Moderado
REG-00151,VIV-00151,2026-07-01,257.26,192.94,1051.52,BRL,Eficiente
REG-00152,VIV-00152,2026-07-01,373.64,280.23,1050.86,PEN,Ineficiente
REG-00153,COM-00153,2026-07-01,2343.96,1757.97,7207677.0,COP,Ineficiente
REG-00154,VIV-00154,2026-07-01,270.59,202.94,3754.39,MXN,Eficiente
REG-00155,VIV-00155,2026-07-01,225.33,169.0,155480.0,CLP,Eficiente
REG-00156,VIV-00156,2026-07-01,331.9,248.92,1356.61,BRL,Moderado
REG-00157,VIV-00157,2026-07-01,417.03,312.77,1282357.0,COP,Ineficiente
REG-00158,VIV-00158,2026-07-01,380.09,285.07,5273.8,MXN,Ineficiente
REG-00159,COM-00159,2026-07-01,2081.43,1561.07,5854.01,PEN,Ineficiente
REG-00160,VIV-00160,2026-07-01,223.15,167.36,153971.2,CLP,Eficiente
REG-00161,VIV-00161,2026-07-01,381.24,285.93,1172313.0,COP,Ineficiente
REG-00162,VIV-00162,2026-07-01,350.6,262.95,1433.08,BRL,Moderado
REG-00163,VIV-00163,2026-07-01,423.06,317.3,1729.29,BRL,Ineficiente
REG-00164,VIV-00164,2026-07-01,300.38,225.28,214016.0,ARS,Moderado
REG-00165,COM-00165,2026-07-01,2830.28,2122.71,7960.16,PEN,Moderado
REG-00166,COM-00166,2026-07-01,1419.37,1064.53,979367.6,CLP,Moderado
REG-00167,VIV-00167,2026-07-01,314.89,236.17,217276.4,CLP,Moderado
REG-00168,VIV-00168,2026-07-01,378.79,284.09,1065.34,PEN,Ineficiente
REG-00169,VIV-00169,2026-07-01,293.96,220.47,209446.5,ARS,Moderado
REG-00170,VIV-00170,2026-07-01,352.33,264.25,990.94,PEN,Moderado
REG-00171,VIV-00171,2026-07-01,375.86,281.89,1155749.0,COP,Ineficiente
REG-00172,VIV-00172,2026-07-01,287.01,215.26,807.22,PEN,Moderado
REG-00173,VIV-00173,2026-07-01,234.88,176.16,162067.2,CLP,Eficiente
REG-00174,VIV-00174,2026-07-01,382.28,286.71,5304.13,MXN,Ineficiente
REG-00175,VIV-00175,2026-07-01,343.97,257.98,1405.99,BRL,Moderado
REG-00176,VIV-00176,2026-07-01,386.63,289.97,1087.39,PEN,Ineficiente
REG-00177,VIV-00177,2026-07-01,389.09,291.82,1590.42,BRL,Ineficiente
REG-00178,COM-00178,2026-07-01,1437.19,1077.89,5874.5,BRL,Eficiente
REG-00179,VIV-00179,2026-07-01,368.1,276.08,5107.48,MXN,Moderado
REG-00180,VIV-00180,2026-07-01,401.63,301.22,5572.57,MXN,Ineficiente
REG-00181,VIV-00181,2026-07-01,418.77,314.08,1287728.0,COP,Ineficiente
REG-00182,COM-00182,2026-07-01,845.06,633.79,3454.16,BRL,Eficiente
REG-00183,VIV-00183,2026-07-01,302.94,227.2,209024.0,CLP,Moderado
REG-00184,COM-00184,2026-07-01,2250.54,1687.9,1552868.0,CLP,Moderado
REG-00185,COM-00185,2026-07-01,2266.63,1699.97,1614971.5,ARS,Ineficiente
REG-00186,VIV-00186,2026-07-01,247.72,185.79,696.71,PEN,Eficiente
REG-00187,VIV-00187,2026-07-01,373.23,279.92,257526.4,CLP,Ineficiente
REG-00188,VIV-00188,2026-07-01,270.38,202.78,192641.0,ARS,Eficiente
REG-00189,COM-00189,2026-07-01,2297.11,1722.83,7063603.0,COP,Ineficiente
REG-00190,VIV-00190,2026-07-01,259.47,194.6,179032.0,CLP,Eficiente
REG-00191,VIV-00191,2026-07-01,226.49,169.87,925.79,BRL,Eficiente
REG-00192,COM-00192,2026-07-01,973.42,730.06,671655.2,CLP,Eficiente
REG-00193,VIV-00193,2026-07-01,247.21,185.41,3430.09,MXN,Eficiente
REG-00194,VIV-00194,2026-07-01,353.81,265.36,1087976.0,COP,Moderado
REG-00195,COM-00195,2026-07-01,1166.15,874.61,830879.5,ARS,Moderado
REG-00196,VIV-00196,2026-07-01,320.89,240.67,1311.65,BRL,Moderado
REG-00197,VIV-00197,2026-07-01,388.24,291.18,267885.6,CLP,Ineficiente
REG-00198,COM-00198,2026-07-01,3231.17,2423.38,2302211.0,ARS,Ineficiente
REG-00199,VIV-00199,2026-07-01,364.78,273.58,1025.92,PEN,Moderado
REG-00200,COM-00200,2026-07-01,2747.7,2060.77,7727.89,PEN,Moderado
REG-00201,COM-00201,2026-07-01,959.72,719.79,683800.5,ARS,Eficiente
REG-00202,COM-00202,2026-07-01,2576.35,1932.26,7245.98,PEN,Moderado
REG-00203,VIV-00203,2026-07-01,427.76,320.82,295154.4,CLP,Ineficiente
REG-00204,VIV-00204,2026-07-01,373.84,280.38,5187.03,MXN,Ineficiente
REG-00205,VIV-00205,2026-07-01,321.54,241.16,904.35,PEN,Moderado
REG-00206,COM-00206,2026-07-01,1569.88,1177.41,1118539.5,ARS,Eficiente
REG-00207,COM-00207,2026-07-01,1537.72,1153.29,6285.43,BRL,Moderado
REG-00208,VIV-00208,2026-07-01,253.83,190.37,3521.85,MXN,Eficiente
REG-00209,VIV-00209,2026-07-01,360.76,270.57,5005.55,MXN,Moderado
REG-00210,VIV-00210,2026-07-01,416.09,312.07,5773.3,MXN,Ineficiente
REG-00211,VIV-00211,2026-07-01,342.93,257.2,1054520.0,COP,Moderado
REG-00212,VIV-00212,2026-07-01,431.87,323.9,297988.0,CLP,Ineficiente
REG-00213,VIV-00213,2026-07-01,334.42,250.81,238269.5,ARS,Moderado
REG-00214,VIV-00214,2026-07-01,378.2,283.65,1162965.0,COP,Ineficiente
REG-00215,VIV-00215,2026-07-01,235.24,176.43,167608.5,ARS,Eficiente
REG-00216,VIV-00216,2026-07-01,345.96,259.47,246496.5,ARS,Moderado
REG-00217,VIV-00217,2026-07-01,377.48,283.11,1542.95,BRL,Ineficiente
REG-00218,VIV-00218,2026-07-01,232.31,174.23,160291.6,CLP,Eficiente
REG-00219,COM-00219,2026-07-01,1526.11,1144.58,1053013.6,CLP,Moderado
REG-00220,VIV-00220,2026-07-01,374.01,280.51,1150091.0,COP,Ineficiente
REG-00221,COM-00221,2026-07-01,2198.74,1649.05,6761105.0,COP,Moderado
REG-00222,COM-00222,2026-07-01,1361.54,1021.15,939458.0,CLP,Eficiente
REG-00223,VIV-00223,2026-07-01,405.0,303.75,1139.06,PEN,Ineficiente
REG-00224,VIV-00224,2026-07-01,215.15,161.36,661576.0,COP,Eficiente
REG-00225,VIV-00225,2026-07-01,334.53,250.9,238355.0,ARS,Moderado
REG-00226,VIV-00226,2026-07-01,277.67,208.25,1134.96,BRL,Moderado
REG-00227,VIV-00227,2026-07-01,440.55,330.41,6112.59,MXN,Ineficiente
REG-00228,COM-00228,2026-07-01,1231.2,923.4,17082.9,MXN,Moderado
REG-00229,VIV-00229,2026-07-01,242.92,182.19,3370.51,MXN,Eficiente
REG-00230,VIV-00230,2026-07-01,283.32,212.49,871209.0,COP,Moderado
REG-00231,VIV-00231,2026-07-01,375.62,281.72,259182.4,CLP,Ineficiente
REG-00232,COM-00232,2026-07-01,1479.24,1109.43,20524.46,MXN,Eficiente
REG-00233,VIV-00233,2026-07-01,240.62,180.47,983.56,BRL,Eficiente
REG-00234,VIV-00234,2026-07-01,378.66,284.0,5254.0,MXN,Ineficiente
REG-00235,VIV-00235,2026-07-01,275.0,206.25,1124.06,BRL,Eficiente
REG-00236,COM-00236,2026-07-01,2012.61,1509.46,6188786.0,COP,Moderado
REG-00237,VIV-00237,2026-07-01,421.67,316.25,5850.62,MXN,Ineficiente
REG-00238,VIV-00238,2026-07-01,383.49,287.62,1179242.0,COP,Ineficiente
REG-00239,VIV-00239,2026-07-01,402.3,301.73,286643.5,ARS,Ineficiente
REG-00240,COM-00240,2026-07-01,2308.48,1731.36,6492.6,PEN,Moderado
REG-00241,VIV-00241,2026-07-01,236.52,177.39,163198.8,CLP,Eficiente
REG-00242,VIV-00242,2026-07-01,374.77,281.08,1152428.0,COP,Ineficiente
REG-00243,VIV-00243,2026-07-01,394.94,296.2,281390.0,ARS,Ineficiente
REG-00244,VIV-00244,2026-07-01,398.89,299.17,284211.5,ARS,Ineficiente
REG-00245,COM-00245,2026-07-01,2634.36,1975.77,8100657.0,COP,Moderado
REG-00246,COM-00246,2026-07-01,870.08,652.56,600355.2,CLP,Ineficiente
REG-00247,VIV-00247,2026-07-01,367.8,275.85,1503.38,BRL,Moderado
REG-00248,COM-00248,2026-07-01,1184.66,888.5,3331.88,PEN,Eficiente
REG-00249,VIV-00249,2026-07-01,409.85,307.39,1675.28,BRL,Ineficiente
REG-00250,VIV-00250,2026-07-01,427.56,320.67,5932.4,MXN,Ineficiente
REG-00251,COM-00251,2026-07-01,1701.89,1276.42,5233322.0,COP,Ineficiente
REG-00252,VIV-00252,2026-07-01,282.7,212.02,869282.0,COP,Moderado
REG-00253,VIV-00253,2026-07-01,341.86,256.39,243570.5,ARS,Moderado
REG-00254,VIV-00254,2026-07-01,265.18,198.88,745.8,PEN,Eficiente
REG-00255,VIV-00255,2026-07-01,276.4,207.3,849930.0,COP,Moderado
REG-00256,COM-00256,2026-07-01,840.62,630.47,3436.06,BRL,Eficiente
REG-00257,COM-00257,2026-07-01,2274.17,1705.63,9295.68,BRL,Moderado
REG-00258,VIV-00258,2026-07-01,228.47,171.35,702535.0,COP,Eficiente
REG-00259,VIV-00259,2026-07-01,252.07,189.05,3497.43,MXN,Eficiente
REG-00260,VIV-00260,2026-07-01,274.21,205.66,1120.85,BRL,Eficiente
REG-00261,VIV-00261,2026-07-01,294.98,221.24,210178.0,ARS,Moderado
REG-00262,VIV-00262,2026-07-01,358.92,269.19,255730.5,ARS,Moderado
REG-00263,VIV-00263,2026-07-01,381.6,286.2,1559.79,BRL,Ineficiente
REG-00264,VIV-00264,2026-07-01,403.35,302.51,1134.41,PEN,Ineficiente
REG-00265,VIV-00265,2026-07-01,292.7,219.52,1196.38,BRL,Moderado
REG-00266,VIV-00266,2026-07-01,350.82,263.12,1434.0,BRL,Moderado
REG-00267,VIV-00267,2026-07-01,346.64,259.98,4809.63,MXN,Moderado
REG-00268,VIV-00268,2026-07-01,426.89,320.17,1312697.0,COP,Ineficiente
REG-00269,VIV-00269,2026-07-01,233.28,174.96,166212.0,ARS,Eficiente
REG-00270,COM-00270,2026-07-01,3441.99,2581.49,9680.59,PEN,Ineficiente
REG-00271,COM-00271,2026-07-01,2387.77,1790.83,1647563.6,CLP,Moderado
REG-00272,VIV-00272,2026-07-01,389.92,292.44,5410.14,MXN,Ineficiente
REG-00273,COM-00273,2026-07-01,940.39,705.29,648866.8,CLP,Eficiente
REG-00274,COM-00274,2026-07-01,2232.45,1674.34,6864794.0,COP,Moderado
REG-00275,COM-00275,2026-07-01,2298.49,1723.87,9395.09,BRL,Moderado
REG-00276,COM-00276,2026-07-01,2109.83,1582.37,6487717.0,COP,Eficiente
REG-00277,VIV-00277,2026-07-01,276.21,207.16,3832.46,MXN,Eficiente
REG-00278,VIV-00278,2026-07-01,273.24,204.93,1116.87,BRL,Eficiente
REG-00279,VIV-00279,2026-07-01,265.73,199.3,3687.05,MXN,Eficiente
REG-00280,VIV-00280,2026-07-01,341.01,255.76,1393.89,BRL,Moderado
REG-00281,VIV-00281,2026-07-01,233.5,175.12,717992.0,COP,Eficiente
REG-00282,VIV-00282,2026-07-01,418.21,313.66,297977.0,ARS,Ineficiente
REG-00283,VIV-00283,2026-07-01,355.84,266.88,4937.28,MXN,Moderado
REG-00284,VIV-00284,2026-07-01,412.68,309.51,1686.83,BRL,Ineficiente
REG-00285,VIV-00285,2026-07-01,214.7,161.02,152969.0,ARS,Eficiente
REG-00286,VIV-00286,2026-07-01,317.03,237.77,974857.0,COP,Moderado
REG-00287,COM-00287,2026-07-01,2261.14,1695.86,1611067.0,ARS,Moderado
REG-00288,COM-00288,2026-07-01,2186.1,1639.57,1557591.5,ARS,Moderado
REG-00289,COM-00289,2026-07-01,1627.79,1220.84,1159798.0,ARS,Ineficiente
REG-00290,COM-00290,2026-07-01,2170.37,1627.78,6104.18,PEN,Moderado
REG-00291,VIV-00291,2026-07-01,326.63,244.97,4531.94,MXN,Moderado
REG-00292,VIV-00292,2026-07-01,294.54,220.91,905731.0,COP,Moderado
REG-00293,VIV-00293,2026-07-01,270.41,202.81,186585.2,CLP,Eficiente
REG-00294,VIV-00294,2026-07-01,285.17,213.88,876908.0,COP,Moderado
REG-00295,COM-00295,2026-07-01,2705.06,2028.8,11056.96,BRL,Moderado
REG-00296,VIV-00296,2026-07-01,224.1,168.07,689087.0,COP,Eficiente
REG-00297,VIV-00297,2026-07-01,444.92,333.69,1251.34,PEN,Ineficiente
REG-00298,VIV-00298,2026-07-01,412.47,309.35,5722.98,MXN,Ineficiente
REG-00299,COM-00299,2026-07-01,1585.59,1189.19,6481.09,BRL,Moderado
REG-00300,COM-00300,2026-07-01,2066.36,1549.77,1472281.5,ARS,Ineficiente
REG-00301,VIV-00301,2026-07-01,288.9,216.67,4008.39,MXN,Moderado
REG-00302,VIV-00302,2026-07-01,227.45,170.59,162060.5,ARS,Eficiente
REG-00303,VIV-00303,2026-07-01,392.23,294.17,5442.15,MXN,Ineficiente
REG-00304,COM-00304,2026-07-01,2884.61,2163.46,8112.98,PEN,Ineficiente
REG-00305,VIV-00305,2026-07-01,412.68,309.51,294034.5,ARS,Ineficiente
REG-00306,COM-00306,2026-07-01,2117.44,1588.08,8655.04,BRL,Moderado
REG-00307,VIV-00307,2026-07-01,394.65,295.99,1613.15,BRL,Ineficiente
REG-00308,VIV-00308,2026-07-01,380.75,285.56,271282.0,ARS,Ineficiente
REG-00309,VIV-00309,2026-07-01,310.32,232.74,221103.0,ARS,Moderado
REG-00310,VIV-00310,2026-07-01,294.0,220.5,202860.0,CLP,Moderado
REG-00311,COM-00311,2026-07-01,2186.23,1639.67,1557686.5,ARS,Ineficiente
REG-00312,VIV-00312,2026-07-01,231.01,173.26,3205.31,MXN,Eficiente
REG-00313,VIV-00313,2026-07-01,244.48,183.36,3392.16,MXN,Eficiente
REG-00314,COM-00314,2026-07-01,2615.5,1961.62,1863539.0,ARS,Moderado
REG-00315,VIV-00315,2026-07-01,233.19,174.89,3235.46,MXN,Eficiente
REG-00316,COM-00316,2026-07-01,2352.24,1764.18,6615.68,PEN,Eficiente
REG-00317,VIV-00317,2026-07-01,405.72,304.29,1658.38,BRL,Ineficiente
REG-00318,VIV-00318,2026-07-01,260.81,195.61,3618.79,MXN,Eficiente
REG-00319,VIV-00319,2026-07-01,416.45,312.34,1171.27,PEN,Ineficiente
REG-00320,VIV-00320,2026-07-01,227.29,170.47,161946.5,ARS,Eficiente
REG-00321,VIV-00321,2026-07-01,230.72,173.04,3201.24,MXN,Eficiente
