id_registro,id_inmueble,anio_mes_dd,pais_ubicacion,tipo_establecimiento,superficie_m2,habitantes_empleados,total_equipos,potencia_total_watts,tiene_inverter,porcentaje_inverter,consumo_kwh_dia,consumo_kwh_mes,intensidad_energetica_kwh_m2,costo_factura_usd,costo_factura_moneda_local,codigo_moneda,pct_dist_madrugada,pct_dist_manana,pct_dist_tarde,pct_dist_noche,franja_pico_dominante,efficiency_label
REG-00014,VIV-00014,2026-07-01,Mexico,Vivienda,105,4,22.0,1850.0,1.0,0.3333,13.797,413.91,3.942,310.43,5742.95,MXN,0.1127,0.1768,0.2645,0.446,noche,Ineficiente
REG-00015,COM-00015,2026-07-01,Peru,Comercio,115,4,66.0,5900.0,1.0,0.6667,52.365,1570.95,13.6604,1178.21,4418.29,PEN,0.0509,0.4465,0.3817,0.1208,manana,Moderado
REG-00016,VIV-00016,2026-07-01,Chile,Vivienda,87,1,16.0,1590.0,1.0,0.6667,7.5313,225.94,2.597,169.45,155894.0,CLP,0.1073,0.1985,0.2528,0.4414,noche,Eficiente
REG-00017,VIV-00017,2026-07-01,Argentina,Vivienda,52,1,21.0,1665.0,1.0,0.6667,8.6393,259.18,4.9842,194.38,184661.0,ARS,0.1366,0.2016,0.2024,0.4594,noche,Eficiente
REG-00018,VIV-00018,2026-07-01,Chile,Vivienda,77,3,14.0,1730.0,1.0,0.3333,11.8847,356.54,4.6304,267.41,246017.2,CLP,0.1493,0.1306,0.2699,0.4502,noche,Moderado
REG-00019,VIV-00019,2026-07-01,Argentina,Vivienda,132,4,27.0,1925.0,1.0,0.3333,14.4,432.0,3.2727,324.0,307800.0,ARS,0.1356,0.1986,0.2218,0.4439,noche,Ineficiente
REG-00020,VIV-00020,2026-07-01,Brasil,Vivienda,59,5,28.0,1940.0,1.0,0.3333,13.2227,396.68,6.7234,297.51,1621.43,BRL,0.1374,0.203,0.2465,0.4131,noche,Ineficiente
REG-00021,VIV-00021,2026-07-01,Argentina,Vivienda,124,2,13.0,1545.0,1.0,0.6667,8.0867,242.6,1.9565,181.95,172852.5,ARS,0.093,0.1727,0.2271,0.5071,noche,Eficiente
REG-00022,VIV-00022,2026-07-01,Argentina,Vivienda,100,5,15.0,1745.0,1.0,0.3333,11.53,345.9,3.459,259.42,246449.0,ARS,0.1114,0.1864,0.2461,0.456,noche,Moderado
REG-00023,COM-00023,2026-07-01,Colombia,Comercio,96,9,56.0,10080.0,1.0,0.75,110.4083,3312.25,34.5026,2484.19,10185179.0,COP,0.0859,0.4392,0.3704,0.1045,manana,Ineficiente
REG-00024,VIV-00024,2026-07-01,Argentina,Vivienda,127,1,21.0,1665.0,1.0,0.6667,8.5197,255.59,2.0125,191.69,182105.5,ARS,0.1081,0.2083,0.2704,0.4132,noche,Eficiente
REG-00025,VIV-00025,2026-07-01,Brasil,Vivienda,124,3,31.0,1815.0,1.0,0.6667,11.0573,331.72,2.6752,248.79,1355.91,BRL,0.1545,0.171,0.1886,0.4859,noche,Moderado
REG-00026,VIV-00026,2026-07-01,Chile,Vivienda,62,2,22.0,1850.0,1.0,0.3333,12.408,372.24,6.0039,279.18,256845.6,CLP,0.154,0.1382,0.1802,0.5276,noche,Ineficiente
REG-00027,COM-00027,2026-07-01,Peru,Comercio,98,4,55.0,4285.0,1.0,0.5,49.928,1497.84,15.2841,1123.38,4212.68,PEN,0.069,0.431,0.3902,0.1098,manana,Moderado
REG-00028,COM-00028,2026-07-01,Argentina,Comercio,199,2,63.0,5585.0,1.0,0.6667,47.5313,1425.94,7.1655,1069.45,1015977.5,ARS,0.083,0.4218,0.3801,0.1151,manana,Eficiente
REG-00029,VIV-00029,2026-07-01,Argentina,Vivienda,79,2,29.0,1785.0,1.0,0.6667,10.822,324.66,4.1096,243.5,231325.0,ARS,0.0872,0.1868,0.2067,0.5194,noche,Moderado
REG-00030,COM-00030,2026-07-01,Colombia,Comercio,111,5,59.0,3745.0,1.0,1.0,33.4797,1004.39,9.0486,753.29,3088489.0,COP,0.1146,0.3931,0.4391,0.0532,tarde,Eficiente
REG-00031,VIV-00031,2026-07-01,Brasil,Vivienda,74,6,14.0,1560.0,1.0,0.6667,7.7993,233.98,3.1619,175.48,956.37,BRL,0.1328,0.1765,0.2196,0.4711,noche,Eficiente
REG-00032,VIV-00032,2026-07-01,Mexico,Vivienda,126,4,24.0,1880.0,1.0,0.3333,13.7837,413.51,3.2818,310.13,5737.4,MXN,0.129,0.1728,0.2177,0.4806,noche,Ineficiente
REG-00033,VIV-00033,2026-07-01,Peru,Vivienda,58,6,15.0,1575.0,1.0,0.6667,7.6487,229.46,3.9562,172.09,645.34,PEN,0.1352,0.1563,0.2336,0.4749,noche,Eficiente
REG-00034,COM-00034,2026-07-01,Colombia,Comercio,165,11,40.0,6455.0,1.0,0.6667,56.2507,1687.52,10.2274,1265.64,5189124.0,COP,0.1093,0.4179,0.3501,0.1227,manana,Eficiente
REG-00035,VIV-00035,2026-07-01,Chile,Vivienda,118,4,12.0,1700.0,1.0,0.3333,11.646,349.38,2.9608,262.03,241067.6,CLP,0.0838,0.1452,0.2287,0.5423,noche,Moderado
REG-00036,COM-00036,2026-07-01,Peru,Comercio,191,7,29.0,3565.0,1.0,1.0,31.2303,936.91,4.9053,702.68,2635.05,PEN,0.0875,0.4314,0.3553,0.1258,manana,Eficiente
REG-00037,VIV-00037,2026-07-01,Mexico,Vivienda,134,4,14.0,1730.0,1.0,0.3333,12.1207,363.62,2.7136,272.72,5045.32,MXN,0.1037,0.2154,0.1992,0.4817,noche,Moderado
REG-00038,VIV-00038,2026-07-01,Mexico,Vivienda,77,1,30.0,1970.0,1.0,0.3333,14.442,433.26,5.6268,324.94,6011.39,MXN,0.1113,0.1635,0.265,0.4603,noche,Ineficiente
REG-00039,COM-00039,2026-07-01,Brasil,Comercio,153,4,59.0,7265.0,1.0,0.75,87.2313,2616.94,17.1042,1962.7,10696.72,BRL,0.0864,0.4108,0.3538,0.149,manana,Moderado
REG-00040,COM-00040,2026-07-01,Peru,Comercio,134,8,48.0,7640.0,1.0,0.5,88.8343,2665.03,19.8883,1998.77,7495.39,PEN,0.0622,0.4169,0.4483,0.0725,tarde,Moderado
REG-00041,COM-00041,2026-07-01,Colombia,Comercio,120,3,48.0,6230.0,1.0,0.75,66.429,1992.87,16.6072,1494.65,6128065.0,COP,0.0908,0.4297,0.3896,0.0899,manana,Moderado
REG-00042,COM-00042,2026-07-01,Peru,Comercio,174,8,30.0,5900.0,1.0,1.0,51.225,1536.75,8.8319,1152.56,4322.1,PEN,0.0637,0.393,0.4195,0.1238,tarde,Eficiente
REG-00043,VIV-00043,2026-07-01,Colombia,Vivienda,73,5,29.0,1785.0,1.0,0.6667,9.279,278.37,3.8133,208.78,855998.0,COP,0.1562,0.1459,0.2295,0.4685,noche,Moderado
REG-00044,VIV-00044,2026-07-01,Peru,Vivienda,108,3,13.0,1545.0,1.0,0.6667,7.4663,223.99,2.074,167.99,629.96,PEN,0.1015,0.1374,0.2023,0.5589,noche,Eficiente
REG-00045,VIV-00045,2026-07-01,Brasil,Vivienda,111,3,31.0,1815.0,1.0,0.6667,10.0047,300.14,2.704,225.1,1226.8,BRL,0.093,0.2189,0.2379,0.4502,noche,Moderado
REG-00046,VIV-00046,2026-07-01,Colombia,Vivienda,98,2,14.0,1560.0,1.0,0.6667,7.74,232.2,2.3694,174.15,714015.0,COP,0.1048,0.1705,0.2212,0.5036,noche,Eficiente
REG-00047,VIV-00047,2026-07-01,Colombia,Vivienda,80,1,28.0,1770.0,1.0,0.6667,9.08,272.4,3.405,204.3,837630.0,COP,0.1172,0.1313,0.2091,0.5423,noche,Eficiente
REG-00048,VIV-00048,2026-07-01,Peru,Vivienda,82,6,21.0,1665.0,1.0,0.6667,9.426,282.78,3.4485,212.08,795.3,PEN,0.1331,0.1295,0.2342,0.5032,noche,Moderado
REG-00049,VIV-00049,2026-07-01,Brasil,Vivienda,125,3,20.0,1650.0,1.0,0.6667,9.1197,273.59,2.1887,205.19,1118.29,BRL,0.0959,0.1378,0.2269,0.5394,noche,Eficiente
REG-00050,COM-00050,2026-07-01,Brasil,Comercio,32,11,41.0,8655.0,1.0,1.0,77.375,2321.25,72.5391,1740.94,9488.12,BRL,0.119,0.3728,0.3925,0.1157,tarde,Ineficiente
REG-00051,COM-00051,2026-07-01,Peru,Comercio,78,12,51.0,5305.0,1.0,0.75,55.813,1674.39,21.4665,1255.79,4709.21,PEN,0.0746,0.3629,0.4353,0.1271,tarde,Moderado
REG-00052,VIV-00052,2026-07-01,Mexico,Vivienda,62,4,22.0,1850.0,1.0,0.3333,12.189,365.67,5.8979,274.25,5073.62,MXN,0.1087,0.1659,0.2313,0.4942,noche,Moderado
REG-00053,VIV-00053,2026-07-01,Colombia,Vivienda,83,3,28.0,1770.0,1.0,0.6667,9.045,271.35,3.2693,203.51,834391.0,COP,0.0808,0.15,0.2078,0.5614,noche,Eficiente
REG-00054,VIV-00054,2026-07-01,Chile,Vivienda,121,1,27.0,1755.0,1.0,0.6667,10.2863,308.59,2.5503,231.44,212924.8,CLP,0.0972,0.1348,0.2516,0.5164,noche,Moderado
REG-00055,VIV-00055,2026-07-01,Chile,Vivienda,114,3,12.0,1700.0,1.0,0.3333,11.982,359.46,3.1532,269.59,248022.8,CLP,0.1497,0.127,0.1831,0.5403,noche,Moderado
REG-00056,COM-00056,2026-07-01,Brasil,Comercio,33,12,37.0,8730.0,1.0,0.6667,76.7997,2303.99,69.8179,1727.99,9417.55,BRL,0.0833,0.4044,0.4493,0.0629,tarde,Ineficiente
REG-00057,VIV-00057,2026-07-01,Colombia,Vivienda,106,5,24.0,1710.0,1.0,0.6667,8.4333,253.0,2.3868,189.75,777975.0,COP,0.0983,0.1459,0.1846,0.5713,noche,Eficiente
REG-00058,VIV-00058,2026-07-01,Argentina,Vivienda,63,6,16.0,1590.0,1.0,0.6667,7.634,229.02,3.6352,171.77,163181.5,ARS,0.0954,0.1439,0.2061,0.5546,noche,Eficiente
REG-00059,VIV-00059,2026-07-01,Brasil,Vivienda,52,2,24.0,1710.0,1.0,0.6667,9.4663,283.99,5.4613,212.99,1160.8,BRL,0.1381,0.1986,0.2135,0.4499,noche,Moderado
REG-00060,VIV-00060,2026-07-01,Argentina,Vivienda,67,1,15.0,1575.0,1.0,0.6667,8.337,250.11,3.733,187.58,178201.0,ARS,0.0811,0.214,0.2562,0.4487,noche,Eficiente
REG-00061,VIV-00061,2026-07-01,Colombia,Vivienda,113,5,31.0,1815.0,1.0,0.6667,9.1957,275.87,2.4413,206.9,848290.0,COP,0.1006,0.2021,0.2338,0.4636,noche,Eficiente
REG-00062,VIV-00062,2026-07-01,Brasil,Vivienda,69,5,18.0,1620.0,1.0,0.6667,8.2607,247.82,3.5916,185.87,1012.99,BRL,0.1214,0.1625,0.2286,0.4875,noche,Eficiente
REG-00063,COM-00063,2026-07-01,Brasil,Comercio,106,11,47.0,8745.0,1.0,1.0,77.3817,2321.45,21.9005,1741.09,9488.94,BRL,0.099,0.4373,0.4405,0.0232,tarde,Moderado
REG-00064,VIV-00064,2026-07-01,Mexico,Vivienda,67,6,29.0,1955.0,1.0,0.3333,13.2457,397.37,5.9309,298.03,5513.55,MXN,0.087,0.1408,0.2654,0.5068,noche,Ineficiente
REG-00065,VIV-00065,2026-07-01,Brasil,Vivienda,47,2,24.0,1710.0,1.0,0.6667,9.8193,294.58,6.2677,220.94,1204.12,BRL,0.1275,0.1768,0.2593,0.4363,noche,Moderado
REG-00066,VIV-00066,2026-07-01,Colombia,Vivienda,118,5,28.0,1770.0,1.0,0.6667,9.708,291.24,2.4681,218.43,895563.0,COP,0.1511,0.1557,0.2748,0.4183,noche,Moderado
REG-00067,VIV-00067,2026-07-01,Argentina,Vivienda,82,3,24.0,1880.0,1.0,0.3333,12.807,384.21,4.6855,288.16,273752.0,ARS,0.1532,0.1671,0.2457,0.434,noche,Ineficiente
REG-00068,VIV-00068,2026-07-01,Brasil,Vivienda,58,3,14.0,1730.0,1.0,0.3333,11.3087,339.26,5.8493,254.44,1386.7,BRL,0.0801,0.1855,0.203,0.5314,noche,Moderado
REG-00069,COM-00069,2026-07-01,Brasil,Comercio,171,11,40.0,5005.0,1.0,0.5,55.1473,1654.42,9.675,1240.82,6762.47,BRL,0.1027,0.3606,0.3502,0.1865,manana,Eficiente
REG-00070,VIV-00070,2026-07-01,Argentina,Vivienda,82,6,15.0,1745.0,1.0,0.3333,12.0563,361.69,4.4109,271.27,257706.5,ARS,0.1341,0.1971,0.244,0.4248,noche,Moderado
REG-00071,VIV-00071,2026-07-01,Brasil,Vivienda,102,1,30.0,1800.0,1.0,0.6667,9.4883,284.65,2.7907,213.49,1163.52,BRL,0.1502,0.1365,0.2277,0.4857,noche,Moderado
REG-00072,VIV-00072,2026-07-01,Colombia,Vivienda,109,2,23.0,1695.0,1.0,0.6667,8.7943,263.83,2.4205,197.87,811267.0,COP,0.1374,0.1702,0.2397,0.4527,noche,Eficiente
REG-00073,VIV-00073,2026-07-01,Mexico,Vivienda,97,3,26.0,1740.0,1.0,0.6667,10.2203,306.61,3.1609,229.96,4254.26,MXN,0.0853,0.18,0.264,0.4707,noche,Moderado
REG-00074,VIV-00074,2026-07-01,Argentina,Vivienda,67,4,26.0,1910.0,1.0,0.3333,14.304,429.12,6.4048,321.84,305748.0,ARS,0.133,0.1344,0.2669,0.4657,noche,Ineficiente
REG-00075,VIV-00075,2026-07-01,Brasil,Vivienda,94,1,24.0,1880.0,1.0,0.3333,12.774,383.22,4.0768,287.42,1566.44,BRL,0.1016,0.1518,0.1929,0.5537,noche,Ineficiente
REG-00076,COM-00076,2026-07-01,Peru,Comercio,31,6,44.0,5840.0,1.0,0.6667,52.0973,1562.92,50.4168,1172.19,4395.71,PEN,0.0895,0.3618,0.3549,0.1938,manana,Ineficiente
REG-00077,VIV-00077,2026-07-01,Mexico,Vivienda,127,5,25.0,1895.0,1.0,0.3333,13.726,411.78,3.2424,308.83,5713.35,MXN,0.1104,0.1844,0.2771,0.4282,noche,Ineficiente
REG-00078,VIV-00078,2026-07-01,Chile,Vivienda,125,5,25.0,1895.0,1.0,0.3333,13.75,412.5,3.3,309.38,284629.6,CLP,0.0936,0.1982,0.2348,0.4734,noche,Ineficiente
REG-00079,VIV-00079,2026-07-01,Brasil,Vivienda,117,3,19.0,1635.0,1.0,0.6667,8.9073,267.22,2.2839,200.42,1092.29,BRL,0.1255,0.1417,0.2092,0.5236,noche,Eficiente
REG-00080,COM-00080,2026-07-01,Chile,Comercio,159,10,47.0,7895.0,1.0,0.5,91.9807,2759.42,17.3548,2069.57,1904004.4,CLP,0.0643,0.4204,0.4365,0.0787,tarde,Moderado
REG-00081,VIV-00081,2026-07-01,Brasil,Vivienda,115,5,27.0,1755.0,1.0,0.6667,9.6527,289.58,2.5181,217.19,1183.69,BRL,0.1298,0.1763,0.2046,0.4893,noche,Moderado
REG-00082,COM-00082,2026-07-01,Argentina,Comercio,56,9,35.0,9765.0,1.0,0.5,109.7783,3293.35,58.8098,2470.01,2346509.5,ARS,0.1065,0.3679,0.4388,0.0868,tarde,Ineficiente
REG-00083,COM-00083,2026-07-01,Argentina,Comercio,65,4,37.0,4015.0,1.0,0.75,45.7433,1372.3,21.1123,1029.22,977759.0,ARS,0.1153,0.4161,0.3766,0.092,manana,Moderado
REG-00084,VIV-00084,2026-07-01,Peru,Vivienda,64,6,15.0,1575.0,1.0,0.6667,7.5143,225.43,3.5223,169.07,634.01,PEN,0.1521,0.1439,0.2006,0.5034,noche,Eficiente
REG-00085,VIV-00085,2026-07-01,Mexico,Vivienda,60,5,23.0,1865.0,1.0,0.3333,13.035,391.05,6.5175,293.29,5425.87,MXN,0.0908,0.188,0.2305,0.4908,noche,Ineficiente
REG-00086,VIV-00086,2026-07-01,Brasil,Vivienda,102,6,20.0,1820.0,1.0,0.3333,12.9973,389.92,3.8227,292.44,1593.8,BRL,0.1398,0.1795,0.2591,0.4215,noche,Ineficiente
REG-00087,VIV-00087,2026-07-01,Chile,Vivienda,48,4,26.0,1740.0,1.0,0.6667,8.9603,268.81,5.6002,201.61,185481.2,CLP,0.1076,0.1317,0.2255,0.5352,noche,Eficiente
REG-00088,VIV-00088,2026-07-01,Argentina,Vivienda,87,6,28.0,1940.0,1.0,0.3333,13.3317,399.95,4.5971,299.96,284962.0,ARS,0.0841,0.1596,0.2394,0.5169,noche,Ineficiente
REG-00089,VIV-00089,2026-07-01,Peru,Vivienda,69,1,17.0,1605.0,1.0,0.6667,7.596,227.88,3.3026,170.91,640.91,PEN,0.1488,0.1328,0.2056,0.5127,noche,Eficiente
REG-00090,VIV-00090,2026-07-01,Peru,Vivienda,99,6,13.0,1545.0,1.0,0.6667,7.397,221.91,2.2415,166.43,624.11,PEN,0.1399,0.1702,0.2574,0.4326,noche,Eficiente
REG-00091,VIV-00091,2026-07-01,Mexico,Vivienda,99,2,13.0,1715.0,1.0,0.3333,11.4143,342.43,3.4589,256.82,4751.17,MXN,0.1074,0.1457,0.2132,0.5338,noche,Moderado
REG-00092,VIV-00092,2026-07-01,Mexico,Vivienda,48,2,24.0,1710.0,1.0,0.6667,9.9183,297.55,6.199,223.16,4128.46,MXN,0.1331,0.1665,0.199,0.5015,noche,Moderado
REG-00093,COM-00093,2026-07-01,Peru,Comercio,155,10,70.0,6770.0,1.0,0.6667,59.8997,1796.99,11.5935,1347.74,5054.02,PEN,0.0926,0.3741,0.3613,0.1719,manana,Eficiente
REG-00094,COM-00094,2026-07-01,Brasil,Comercio,194,9,57.0,8625.0,1.0,1.0,74.6483,2239.45,11.5436,1679.59,9153.77,BRL,0.0868,0.4123,0.3639,0.137,manana,Eficiente
REG-00095,VIV-00095,2026-07-01,Colombia,Vivienda,58,1,16.0,1760.0,1.0,0.3333,11.6217,348.65,6.0112,261.49,1072109.0,COP,0.1481,0.2003,0.1897,0.462,noche,Moderado
REG-00096,COM-00096,2026-07-01,Chile,Comercio,33,3,63.0,3535.0,1.0,1.0,30.1527,904.58,27.4115,678.44,624164.8,CLP,0.0991,0.3532,0.4272,0.1205,tarde,Ineficiente
REG-00097,COM-00097,2026-07-01,Mexico,Comercio,183,9,41.0,4015.0,1.0,1.0,34.8733,1046.2,5.7169,784.65,14516.02,MXN,0.0905,0.4461,0.4272,0.0361,manana,Eficiente
REG-00098,VIV-00098,2026-07-01,Argentina,Vivienda,86,6,12.0,1530.0,1.0,0.6667,7.2917,218.75,2.5436,164.06,155857.0,ARS,0.1176,0.1595,0.2447,0.4783,noche,Eficiente
REG-00099,VIV-00099,2026-07-01,Mexico,Vivienda,86,6,26.0,1910.0,1.0,0.3333,12.6913,380.74,4.4272,285.56,5282.86,MXN,0.0919,0.1289,0.2262,0.553,noche,Ineficiente
REG-00100,COM-00100,2026-07-01,Colombia,Comercio,64,9,36.0,7595.0,1.0,0.5,88.8737,2666.21,41.6595,1999.66,8198606.0,COP,0.0596,0.3969,0.3598,0.1837,manana,Ineficiente
REG-00101,VIV-00101,2026-07-01,Brasil,Vivienda,89,4,19.0,1635.0,1.0,0.6667,8.086,242.58,2.7256,181.94,991.57,BRL,0.1263,0.197,0.1939,0.4829,noche,Eficiente
REG-00102,COM-00102,2026-07-01,Peru,Comercio,85,4,57.0,6500.0,1.0,0.75,70.4927,2114.78,24.8798,1586.09,5947.84,PEN,0.067,0.4176,0.3515,0.1639,manana,Ineficiente
REG-00103,VIV-00103,2026-07-01,Peru,Vivienda,54,4,26.0,1740.0,1.0,0.6667,8.3197,249.59,4.622,187.19,701.96,PEN,0.101,0.1737,0.221,0.5043,noche,Eficiente
REG-00104,VIV-00104,2026-07-01,Chile,Vivienda,74,4,30.0,1800.0,1.0,0.6667,9.6353,289.06,3.9062,216.8,199456.0,CLP,0.1389,0.1605,0.2186,0.482,noche,Moderado
REG-00105,COM-00105,2026-07-01,Chile,Comercio,31,5,47.0,5750.0,1.0,0.6667,50.538,1516.14,48.9077,1137.11,1046141.2,CLP,0.1062,0.358,0.4385,0.0974,tarde,Ineficiente
REG-00106,COM-00106,2026-07-01,Chile,Comercio,64,3,48.0,7680.0,1.0,1.0,69.974,2099.22,32.8003,1574.41,1448457.2,CLP,0.0971,0.4339,0.4302,0.0388,manana,Ineficiente
REG-00107,COM-00107,2026-07-01,Mexico,Comercio,81,11,41.0,9390.0,1.0,0.75,94.465,2833.95,34.987,2125.46,39321.01,MXN,0.0654,0.381,0.3656,0.188,manana,Ineficiente
REG-00108,VIV-00108,2026-07-01,Mexico,Vivienda,100,5,15.0,1575.0,1.0,0.6667,7.405,222.15,2.2215,166.61,3082.29,MXN,0.1338,0.1231,0.2702,0.4729,noche,Eficiente
REG-00109,VIV-00109,2026-07-01,Colombia,Vivienda,85,4,22.0,1680.0,1.0,0.6667,9.225,276.75,3.2559,207.56,850996.0,COP,0.0841,0.1386,0.2137,0.5636,noche,Moderado
REG-00110,VIV-00110,2026-07-01,Peru,Vivienda,85,1,25.0,1895.0,1.0,0.3333,14.3297,429.89,5.0575,322.42,1209.08,PEN,0.1369,0.1573,0.2615,0.4444,noche,Ineficiente
REG-00111,VIV-00111,2026-07-01,Mexico,Vivienda,110,6,12.0,1530.0,1.0,0.6667,7.659,229.77,2.0888,172.33,3188.11,MXN,0.0902,0.1714,0.1814,0.5571,noche,Eficiente
REG-00112,VIV-00112,2026-07-01,Peru,Vivienda,108,3,18.0,1790.0,1.0,0.3333,13.0367,391.1,3.6213,293.33,1099.99,PEN,0.0927,0.1767,0.2766,0.4539,noche,Ineficiente
REG-00113,VIV-00113,2026-07-01,Argentina,Vivienda,102,2,26.0,1740.0,1.0,0.6667,9.7453,292.36,2.8663,219.27,208306.5,ARS,0.1225,0.1618,0.2329,0.4828,noche,Moderado
REG-00114,VIV-00114,2026-07-01,Peru,Vivienda,116,5,13.0,1715.0,1.0,0.3333,11.378,341.34,2.9426,256.0,960.0,PEN,0.1199,0.1693,0.2606,0.4501,noche,Moderado
REG-00115,COM-00115,2026-07-01,Colombia,Comercio,160,8,40.0,8970.0,1.0,0.5,89.8517,2695.55,16.8472,2021.66,8288806.0,COP,0.084,0.4229,0.4399,0.0533,tarde,Moderado
REG-00116,COM-00116,2026-07-01,Argentina,Comercio,112,12,46.0,8865.0,1.0,1.0,78.9847,2369.54,21.1566,1777.15,1688292.5,ARS,0.0852,0.3625,0.3826,0.1697,tarde,Moderado
REG-00117,VIV-00117,2026-07-01,Chile,Vivienda,66,1,23.0,1695.0,1.0,0.6667,9.626,288.78,4.3755,216.58,199253.6,CLP,0.0887,0.2122,0.2587,0.4405,noche,Moderado
REG-00118,VIV-00118,2026-07-01,Colombia,Vivienda,99,2,17.0,1775.0,1.0,0.3333,12.8237,384.71,3.886,288.53,1182973.0,COP,0.0908,0.1873,0.2511,0.4708,noche,Ineficiente
REG-00119,VIV-00119,2026-07-01,Chile,Vivienda,51,4,13.0,1715.0,1.0,0.3333,11.596,347.88,6.8212,260.91,240037.2,CLP,0.0992,0.1423,0.2353,0.5231,noche,Moderado
REG-00120,VIV-00120,2026-07-01,Mexico,Vivienda,85,3,32.0,2000.0,1.0,0.3333,13.6877,410.63,4.8309,307.97,5697.45,MXN,0.0814,0.1251,0.207,0.5865,noche,Ineficiente
REG-00121,COM-00121,2026-07-01,Mexico,Comercio,116,8,45.0,6860.0,1.0,0.5,72.3407,2170.22,18.7088,1627.66,30111.71,MXN,0.0782,0.3893,0.4409,0.0917,tarde,Moderado
REG-00122,COM-00122,2026-07-01,Chile,Comercio,149,3,58.0,5645.0,1.0,0.6667,49.2103,1476.31,9.9081,1107.23,1018651.6,CLP,0.0637,0.4199,0.4332,0.0832,tarde,Eficiente
REG-00123,VIV-00123,2026-07-01,Argentina,Vivienda,128,3,22.0,1850.0,1.0,0.3333,12.453,373.59,2.9187,280.19,266180.5,ARS,0.1149,0.154,0.2671,0.464,noche,Ineficiente
REG-00124,VIV-00124,2026-07-01,Mexico,Vivienda,99,5,27.0,1755.0,1.0,0.6667,9.3263,279.79,2.8262,209.84,3882.04,MXN,0.1411,0.1919,0.2176,0.4493,noche,Moderado
REG-00125,COM-00125,2026-07-01,Argentina,Comercio,55,8,34.0,9615.0,1.0,0.5,107.3343,3220.03,58.546,2415.02,2294269.0,ARS,0.0557,0.3587,0.3889,0.1966,tarde,Ineficiente
REG-00126,VIV-00126,2026-07-01,Chile,Vivienda,129,4,27.0,1925.0,1.0,0.3333,13.1813,395.44,3.0654,296.58,272853.6,CLP,0.0959,0.1431,0.2652,0.4958,noche,Ineficiente
