id_inmueble,tipo_establecimiento,superficie_m2,habitantes_empleados,pais_ubicacion
VIV-00136,Vivienda,133,4,Colombia
VIV-00137,Vivienda,107,2,Peru
VIV-00138,Vivienda,79,4,Brasil
VIV-00139,Vivienda,102,3,Argentina
VIV-00140,Vivienda,108,2,Peru
VIV-00141,Vivienda,47,5,Chile
VIV-00142,Vivienda,53,2,Peru
VIV-00143,Vivienda,125,2,Argentina
VIV-00144,Vivienda,48,1,Colombia
VIV-00145,Vivienda,109,5,Argentina
VIV-00146,Vivienda,114,3,Peru
COM-00147,Comercio,81,3,Peru
VIV-00148,Vivienda,113,4,Brasil
COM-00149,Comercio,147,8,Argentina
VIV-00150,Vivienda,58,3,Brasil
VIV-00151,Vivienda,63,3,Brasil
VIV-00152,Vivienda,105,1,Peru
COM-00153,Comercio,52,10,Colombia
VIV-00154,Vivienda,98,2,Mexico
VIV-00155,Vivienda,100,6,Chile
VIV-00156,Vivienda,51,3,Brasil
VIV-00157,Vivienda,91,2,Colombia
VIV-00158,Vivienda,79,5,Mexico
COM-00159,Comercio,89,3,Peru
VIV-00160,Vivienda,83,5,Chile
VIV-00161,Vivienda,102,5,Colombia
VIV-00162,Vivienda,58,1,Brasil
VIV-00163,Vivienda,140,1,Brasil
VIV-00164,Vivienda,48,2,Argentina
COM-00165,Comercio,167,9,Peru
COM-00166,Comercio,99,2,Chile
VIV-00167,Vivienda,140,5,Chile
VIV-00168,Vivienda,73,2,Peru
VIV-00169,Vivienda,60,2,Argentina
VIV-00170,Vivienda,93,4,Peru
VIV-00171,Vivienda,89,6,Colombia
VIV-00172,Vivienda,96,5,Peru
VIV-00173,Vivienda,79,2,Chile
VIV-00174,Vivienda,88,5,Mexico
VIV-00175,Vivienda,147,6,Brasil
VIV-00176,Vivienda,111,4,Peru
VIV-00177,Vivienda,127,3,Brasil
COM-00178,Comercio,186,5,Brasil
VIV-00179,Vivienda,57,6,Mexico
VIV-00180,Vivienda,57,3,Mexico
VIV-00181,Vivienda,109,5,Colombia
COM-00182,Comercio,92,5,Brasil
VIV-00183,Vivienda,48,2,Chile
COM-00184,Comercio,138,10,Chile
COM-00185,Comercio,76,9,Argentina
VIV-00186,Vivienda,65,6,Peru
VIV-00187,Vivienda,76,2,Chile
VIV-00188,Vivienda,110,6,Argentina
COM-00189,Comercio,33,10,Colombia
VIV-00190,Vivienda,63,2,Chile
VIV-00191,Vivienda,78,4,Brasil
COM-00192,Comercio,130,4,Chile
VIV-00193,Vivienda,54,5,Mexico
VIV-00194,Vivienda,113,3,Colombia
COM-00195,Comercio,64,11,Argentina
VIV-00196,Vivienda,103,3,Brasil
VIV-00197,Vivienda,108,2,Chile
COM-00198,Comercio,50,7,Argentina
VIV-00199,Vivienda,86,4,Peru
COM-00200,Comercio,126,7,Peru
COM-00201,Comercio,138,7,Argentina
COM-00202,Comercio,138,3,Peru
VIV-00203,Vivienda,131,2,Chile
VIV-00204,Vivienda,77,5,Mexico
VIV-00205,Vivienda,114,2,Peru
COM-00206,Comercio,166,7,Argentina
COM-00207,Comercio,85,6,Brasil
VIV-00208,Vivienda,115,3,Mexico
VIV-00209,Vivienda,99,3,Mexico
VIV-00210,Vivienda,102,3,Mexico
VIV-00211,Vivienda,98,3,Colombia
VIV-00212,Vivienda,108,5,Chile
VIV-00213,Vivienda,73,2,Argentina
VIV-00214,Vivienda,101,5,Colombia
VIV-00215,Vivienda,132,4,Argentina
VIV-00216,Vivienda,82,6,Argentina
VIV-00217,Vivienda,70,6,Brasil
VIV-00218,Vivienda,113,3,Chile
COM-00219,Comercio,86,8,Chile
VIV-00220,Vivienda,128,4,Colombia
COM-00221,Comercio,142,8,Colombia
COM-00222,Comercio,185,3,Chile
VIV-00223,Vivienda,85,5,Peru
VIV-00224,Vivienda,110,2,Colombia
VIV-00225,Vivienda,92,4,Argentina
VIV-00226,Vivienda,40,5,Brasil
VIV-00227,Vivienda,47,5,Mexico
COM-00228,Comercio,65,12,Mexico
VIV-00229,Vivienda,73,4,Mexico
VIV-00230,Vivienda,119,2,Colombia
VIV-00231,Vivienda,40,3,Chile
COM-00232,Comercio,200,6,Mexico
VIV-00233,Vivienda,100,2,Brasil
VIV-00234,Vivienda,40,4,Mexico
VIV-00235,Vivienda,68,2,Brasil
COM-00236,Comercio,91,2,Colombia
VIV-00237,Vivienda,107,3,Mexico
VIV-00238,Vivienda,115,3,Colombia
VIV-00239,Vivienda,74,4,Argentina
COM-00240,Comercio,150,12,Peru
VIV-00241,Vivienda,79,1,Chile
VIV-00242,Vivienda,104,1,Colombia
VIV-00243,Vivienda,128,3,Argentina
VIV-00244,Vivienda,94,4,Argentina
COM-00245,Comercio,162,3,Colombia
COM-00246,Comercio,31,5,Chile
VIV-00247,Vivienda,91,4,Brasil
COM-00248,Comercio,191,11,Peru
VIV-00249,Vivienda,104,2,Brasil
VIV-00250,Vivienda,106,6,Mexico
COM-00251,Comercio,33,11,Colombia
VIV-00252,Vivienda,114,5,Colombia
VIV-00253,Vivienda,94,2,Argentina
VIV-00254,Vivienda,92,3,Peru
VIV-00255,Vivienda,64,4,Colombia
COM-00256,Comercio,198,3,Brasil
COM-00257,Comercio,159,8,Brasil
VIV-00258,Vivienda,40,3,Colombia
VIV-00259,Vivienda,104,4,Mexico
VIV-00260,Vivienda,83,3,Brasil
VIV-00261,Vivienda,113,3,Argentina
VIV-00262,Vivienda,93,3,Argentina
VIV-00263,Vivienda,91,2,Brasil
VIV-00264,Vivienda,56,1,Peru
VIV-00265,Vivienda,103,4,Brasil
VIV-00266,Vivienda,96,1,Brasil
VIV-00267,Vivienda,82,5,Mexico
VIV-00268,Vivienda,73,4,Colombia
VIV-00269,Vivienda,68,2,Argentina
COM-00270,Comercio,72,12,Peru
COM-00271,Comercio,170,12,Chile
VIV-00272,Vivienda,62,6,Mexico
COM-00273,Comercio,87,5,Chile
COM-00274,Comercio,141,9,Colombia
COM-00275,Comercio,165,11,Brasil
COM-00276,Comercio,197,6,Colombia
VIV-00277,Vivienda,96,4,Mexico
VIV-00278,Vivienda,64,4,Brasil
VIV-00279,Vivienda,97,1,Mexico
VIV-00280,Vivienda,106,6,Brasil
VIV-00281,Vivienda,91,3,Colombia
VIV-00282,Vivienda,137,2,Argentina
VIV-00283,Vivienda,111,4,Mexico
VIV-00284,Vivienda,116,4,Brasil
VIV-00285,Vivienda,84,2,Argentina
VIV-00286,Vivienda,67,5,Colombia
COM-00287,Comercio,100,9,Argentina
COM-00288,Comercio,122,8,Argentina
COM-00289,Comercio,64,9,Argentina
COM-00290,Comercio,165,3,Peru
VIV-00291,Vivienda,99,5,Mexico
VIV-00292,Vivienda,94,2,Colombia
VIV-00293,Vivienda,74,3,Chile
VIV-00294,Vivienda,86,2,Colombia
COM-00295,Comercio,142,8,Brasil
VIV-00296,Vivienda,99,5,Colombia
VIV-00297,Vivienda,117,1,Peru
VIV-00298,Vivienda,85,5,Mexico
COM-00299,Comercio,86,8,Brasil
COM-00300,Comercio,87,2,Argentina
VIV-00301,Vivienda,75,1,Mexico
VIV-00302,Vivienda,40,3,Argentina
VIV-00303,Vivienda,103,2,Mexico
COM-00304,Comercio,56,12,Peru
VIV-00305,Vivienda,94,3,Argentina
COM-00306,Comercio,128,5,Brasil
VIV-00307,Vivienda,96,1,Brasil
VIV-00308,Vivienda,60,5,Argentina
VIV-00309,Vivienda,94,4,Argentina
VIV-00310,Vivienda,98,3,Chile
COM-00311,Comercio,52,11,Argentina
VIV-00312,Vivienda,84,6,Mexico
VIV-00313,Vivienda,102,3,Mexico
COM-00314,Comercio,138,3,Argentina
VIV-00315,Vivienda,107,4,Mexico
COM-00316,Comercio,194,11,Peru
VIV-00317,Vivienda,102,4,Brasil
VIV-00318,Vivienda,61,3,Mexico
VIV-00319,Vivienda,95,3,Peru
VIV-00320,Vivienda,98,6,Argentina
VIV-00321,Vivienda,98,5,Mexico
VIV-00322,Vivienda,73,6,Chile
COM-00323,Comercio,190,2,Chile
VIV-00324,Vivienda,65,3,Argentina
COM-00325,Comercio,200,9,Argentina
VIV-00326,Vivienda,83,4,Colombia
VIV-00327,Vivienda,110,4,Argentina
VIV-00328,Vivienda,58,2,Colombia
COM-00329,Comercio,140,6,Chile
VIV-00330,Vivienda,107,6,Brasil
VIV-00331,Vivienda,101,3,Chile
VIV-00332,Vivienda,87,6,Colombia
VIV-00333,Vivienda,67,4,Colombia
VIV-00334,Vivienda,85,1,Brasil
VIV-00335,Vivienda,87,6,Brasil
VIV-00336,Vivienda,109,3,Colombia
VIV-00337,Vivienda,58,3,Chile
COM-00338,Comercio,115,11,Colombia
COM-00339,Comercio,191,3,Chile
VIV-00340,Vivienda,74,2,Chile
VIV-00341,Vivienda,52,4,Mexico
VIV-00342,Vivienda,126,6,Chile
VIV-00343,Vivienda,80,6,Colombia
COM-00344,Comercio,133,6,Colombia
VIV-00345,Vivienda,64,5,Argentina
VIV-00346,Vivienda,134,4,Chile
VIV-00347,Vivienda,88,5,Peru
VIV-00348,Vivienda,60,1,Mexico
VIV-00349,Vivienda,97,5,Mexico
VIV-00350,Vivienda,59,5,Peru
COM-00351,Comercio,149,2,Peru
VIV-00352,Vivienda,40,6,Argentina
VIV-00353,Vivienda,89,1,Colombia
VIV-00354,Vivienda,129,4,Chile
VIV-00355,Vivienda,75,2,Brasil
VIV-00356,Vivienda,40,6,Chile
VIV-00357,Vivienda,125,3,Argentina
VIV-00358,Vivienda,82,2,Argentina
VIV-00359,Vivienda,147,5,Chile
VIV-00360,Vivienda,87,2,Peru
COM-00361,Comercio,129,7,Mexico
VIV-00362,Vivienda,101,4,Colombia
VIV-00363,Vivienda,131,5,Colombia
COM-00364,Comercio,183,9,Brasil
VIV-00365,Vivienda,82,3,Argentina
VIV-00366,Vivienda,68,1,Peru
VIV-00367,Vivienda,101,4,Argentina
VIV-00368,Vivienda,127,5,Chile
VIV-00369,Vivienda,53,2,Argentina
VIV-00370,Vivienda,55,2,Argentina
VIV-00371,Vivienda,87,1,Chile
COM-00372,Comercio,187,12,Colombia
VIV-00373,Vivienda,85,4,Chile
VIV-00374,Vivienda,111,1,Chile
COM-00375,Comercio,200,2,Argentina
COM-00376,Comercio,120,10,Argentina
COM-00377,Comercio,152,7,Chile
VIV-00378,Vivienda,101,2,Peru
COM-00379,Comercio,182,11,Mexico
VIV-00380,Vivienda,86,6,Chile
VIV-00381,Vivienda,107,4,Mexico
VIV-00382,Vivienda,72,4,Peru
VIV-00383,Vivienda,91,5,Brasil
VIV-00384,Vivienda,89,3,Peru
COM-00385,Comercio,155,6,Brasil
COM-00386,Comercio,47,8,Mexico
VIV-00387,Vivienda,101,4,Peru
VIV-00388,Vivienda,76,3,Chile
COM-00389,Comercio,200,10,Argentina
VIV-00390,Vivienda,62,3,Brasil
VIV-00391,Vivienda,97,5,Brasil
VIV-00392,Vivienda,68,6,Argentina
COM-00393,Comercio,97,8,Argentina
VIV-00394,Vivienda,92,6,Colombia
VIV-00395,Vivienda,110,5,Argentina
VIV-00396,Vivienda,71,3,Brasil
COM-00397,Comercio,134,4,Mexico
VIV-00398,Vivienda,112,3,Colombia
VIV-00399,Vivienda,47,4,Peru
VIV-00400,Vivienda,84,6,Brasil
VIV-00401,Vivienda,93,1,Argentina
VIV-00402,Vivienda,136,4,Chile
VIV-00403,Vivienda,125,1,Peru
COM-00404,Comercio,158,5,Peru
COM-00405,Comercio,64,4,Peru
COM-00406,Comercio,69,10,Argentina
VIV-00407,Vivienda,73,1,Brasil
COM-00408,Comercio,83,12,Argentina
VIV-00409,Vivienda,72,1,Argentina
COM-00410,Comercio,111,10,Mexico
VIV-00411,Vivienda,107,6,Mexico
VIV-00412,Vivienda,70,5,Chile
VIV-00413,Vivienda,111,3,Peru
VIV-00414,Vivienda,113,1,Chile
VIV-00415,Vivienda,56,2,Colombia
VIV-00416,Vivienda,140,1,Colombia
VIV-00417,Vivienda,74,4,Chile
VIV-00418,Vivienda,92,1,Chile
VIV-00419,Vivienda,117,1,Colombia
VIV-00420,Vivienda,119,5,Peru
COM-00421,Comercio,138,11,Argentina
VIV-00422,Vivienda,74,1,Argentina
VIV-00423,Vivienda,83,3,Brasil
VIV-00424,Vivienda,100,3,Peru
VIV-00425,Vivienda,95,4,Mexico
VIV-00426,Vivienda,104,6,Peru
VIV-00427,Vivienda,71,2,Mexico
COM-00428,Comercio,97,12,Argentina
VIV-00429,Vivienda,41,4,Colombia
VIV-00430,Vivienda,51,2,Peru
COM-00431,Comercio,49,10,Colombia
VIV-00432,Vivienda,113,6,Peru
VIV-00433,Vivienda,75,4,Argentina
VIV-00434,Vivienda,73,2,Peru
VIV-00435,Vivienda,76,1,Argentina
VIV-00436,Vivienda,67,1,Colombia
VIV-00437,Vivienda,52,2,Brasil
VIV-00438,Vivienda,65,3,Chile
VIV-00439,Vivienda,90,4,Peru
VIV-00440,Vivienda,93,6,Colombia
COM-00441,Comercio,46,2,Argentina
VIV-00442,Vivienda,71,1,Mexico
VIV-00443,Vivienda,75,1,Brasil
VIV-00444,Vivienda,114,4,Brasil
VIV-00445,Vivienda,76,4,Brasil
VIV-00446,Vivienda,106,6,Argentina
VIV-00447,Vivienda,108,5,Brasil
VIV-00448,Vivienda,75,1,Colombia
COM-00449,Comercio,176,10,Colombia
COM-00450,Comercio,117,2,Brasil
VIV-00451,Vivienda,73,5,Peru
COM-00452,Comercio,40,2,Chile
VIV-00453,Vivienda,101,4,Argentina
VIV-00454,Vivienda,82,5,Peru
VIV-00455,Vivienda,94,2,Argentina
COM-00456,Comercio,114,4,Peru
COM-00457,Comercio,185,8,Peru
VIV-00458,Vivienda,79,4,Peru
VIV-00459,Vivienda,109,2,Peru
VIV-00460,Vivienda,141,4,Mexico
VIV-00461,Vivienda,52,1,Chile
VIV-00462,Vivienda,95,6,Brasil
VIV-00463,Vivienda,70,6,Colombia
VIV-00464,Vivienda,110,2,Argentina
VIV-00465,Vivienda,106,3,Peru
VIV-00466,Vivienda,94,5,Chile
VIV-00467,Vivienda,85,1,Brasil
COM-00468,Comercio,124,10,Colombia
COM-00469,Comercio,89,11,Chile
VIV-00470,Vivienda,66,6,Colombia
VIV-00471,Vivienda,84,3,Brasil
VIV-00472,Vivienda,115,6,Mexico
COM-00473,Comercio,185,8,Peru
VIV-00474,Vivienda,68,6,Mexico
COM-00475,Comercio,140,4,Argentina
VIV-00476,Vivienda,78,5,Brasil
VIV-00477,Vivienda,86,1,Argentina
VIV-00478,Vivienda,81,2,Colombia
VIV-00479,Vivienda,81,3,Mexico
VIV-00480,Vivienda,66,6,Argentina
VIV-00481,Vivienda,86,2,Colombia
VIV-00482,Vivienda,68,1,Mexico
VIV-00483,Vivienda,103,5,Mexico
VIV-00484,Vivienda,150,4,Argentina
VIV-00485,Vivienda,74,6,Argentina
VIV-00486,Vivienda,70,4,Mexico
COM-00487,Comercio,173,5,Mexico
VIV-00488,Vivienda,120,2,Peru
VIV-00489,Vivienda,82,1,Chile
VIV-00490,Vivienda,84,3,Brasil
COM-00491,Comercio,172,9,Colombia
VIV-00492,Vivienda,124,4,Argentina
VIV-00493,Vivienda,69,1,Colombia
COM-00494,Comercio,54,3,Colombia
COM-00495,Comercio,71,8,Peru
VIV-00496,Vivienda,59,1,Peru
VIV-00497,Vivienda,97,1,Brasil
COM-00498,Comercio,150,11,Mexico
VIV-00499,Vivienda,57,1,Mexico
VIV-00500,Vivienda,48,5,Peru
VIV-00501,Vivienda,85,3,Brasil
VIV-00502,Vivienda,147,4,Mexico
VIV-00503,Vivienda,93,6,Chile
VIV-00504,Vivienda,49,1,Colombia
VIV-00505,Vivienda,80,2,Chile
COM-00506,Comercio,111,8,Brasil
VIV-00507,Vivienda,105,6,Chile
VIV-00508,Vivienda,103,5,Colombia
COM-00509,Comercio,52,11,Peru
VIV-00510,Vivienda,66,5,Peru
VIV-00511,Vivienda,100,5,Mexico
VIV-00512,Vivienda,88,5,Mexico
VIV-00513,Vivienda,85,4,Brasil
VIV-00514,Vivienda,94,1,Argentina
VIV-00515,Vivienda,148,4,Colombia
VIV-00516,Vivienda,92,3,Peru
COM-00517,Comercio,194,5,Chile
VIV-00518,Vivienda,63,3,Colombia
VIV-00519,Vivienda,54,3,Brasil
VIV-00520,Vivienda,135,4,Chile
VIV-00521,Vivienda,93,1,Argentina
COM-00522,Comercio,64,5,Brasil
COM-00523,Comercio,98,8,Brasil
VIV-00524,Vivienda,63,2,Argentina
VIV-00525,Vivienda,144,1,Argentina
VIV-00526,Vivienda,68,2,Chile
VIV-00527,Vivienda,61,1,Mexico
VIV-00528,Vivienda,105,6,Brasil
COM-00529,Comercio,181,3,Mexico
VIV-00530,Vivienda,93,3,Mexico
COM-00531,Comercio,162,3,Peru
VIV-00532,Vivienda,112,2,Colombia
VIV-00533,Vivienda,77,4,Brasil
VIV-00534,Vivienda,118,2,Chile
VIV-00535,Vivienda,72,4,Brasil
COM-00536,Comercio,126,4,Peru
COM-00537,Comercio,132,6,Colombia
COM-00538,Comercio,194,12,Colombia
VIV-00539,Vivienda,72,4,Brasil
VIV-00540,Vivienda,126,1,Chile
VIV-00541,Vivienda,76,5,Peru
VIV-00542,Vivienda,106,3,Peru
VIV-00543,Vivienda,82,3,Argentina
VIV-00544,Vivienda,90,3,Chile
VIV-00545,Vivienda,111,3,Argentina
VIV-00546,Vivienda,89,5,Colombia
VIV-00547,Vivienda,69,6,Chile
COM-00548,Comercio,36,10,Colombia
COM-00549,Comercio,184,6,Peru
VIV-00550,Vivienda,40,5,Chile
VIV-00551,Vivienda,78,1,Chile
COM-00552,Comercio,67,9,Peru
VIV-00553,Vivienda,67,5,Brasil
COM-00554,Comercio,89,5,Mexico
VIV-00555,Vivienda,118,4,Chile
VIV-00556,Vivienda,101,5,Argentina
COM-00557,Comercio,92,3,Colombia
VIV-00558,Vivienda,87,3,Colombia
VIV-00559,Vivienda,147,5,Brasil
VIV-00560,Vivienda,79,1,Brasil
VIV-00561,Vivienda,40,1,Colombia
VIV-00562,Vivienda,72,2,Chile
COM-00563,Comercio,185,9,Colombia
COM-00564,Comercio,98,3,Brasil
VIV-00565,Vivienda,86,1,Mexico
VIV-00566,Vivienda,109,6,Brasil
VIV-00567,Vivienda,82,4,Argentina
VIV-00568,Vivienda,100,1,Brasil
COM-00569,Comercio,133,2,Brasil
VIV-00570,Vivienda,120,1,Brasil
VIV-00571,Vivienda,109,2,Mexico
COM-00572,Comercio,139,2,Colombia
VIV-00573,Vivienda,96,5,Brasil
VIV-00574,Vivienda,113,2,Argentina
VIV-00575,Vivienda,105,1,Brasil
VIV-00576,Vivienda,82,4,Mexico
COM-00577,Comercio,71,9,Chile
VIV-00578,Vivienda,108,6,Colombia
COM-00579,Comercio,63,8,Peru
VIV-00580,Vivienda,65,5,Chile
VIV-00581,Vivienda,77,1,Argentina
COM-00582,Comercio,184,11,Peru
VIV-00583,Vivienda,74,1,Brasil
VIV-00584,Vivienda,97,2,Chile
VIV-00585,Vivienda,54,4,Chile
VIV-00586,Vivienda,50,6,Brasil
COM-00587,Comercio,195,2,Chile
COM-00588,Comercio,157,10,Peru
VIV-00589,Vivienda,106,4,Chile
VIV-00590,Vivienda,75,4,Peru
COM-00591,Comercio,154,10,Colombia
VIV-00592,Vivienda,58,1,Argentina
COM-00593,Comercio,199,7,Argentina
VIV-00594,Vivienda,66,3,Peru
VIV-00595,Vivienda,111,4,Mexico
VIV-00596,Vivienda,87,5,Argentina
VIV-00597,Vivienda,89,6,Argentina
COM-00598,Comercio,84,7,Brasil
VIV-00599,Vivienda,104,3,Brasil
VIV-00600,Vivienda,153,3,Argentina
VIV-00601,Vivienda,113,5,Chile
COM-00602,Comercio,44,10,Colombia
VIV-00603,Vivienda,111,5,Peru
COM-00604,Comercio,67,12,Argentina
VIV-00605,Vivienda,106,1,Colombia
COM-00606,Comercio,102,10,Argentina
VIV-00607,Vivienda,88,5,Colombia
VIV-00608,Vivienda,124,6,Brasil
COM-00609,Comercio,136,10,Colombia
VIV-00610,Vivienda,94,1,Argentina
VIV-00611,Vivienda,45,2,Brasil
COM-00612,Comercio,187,5,Peru
VIV-00613,Vivienda,107,2,Colombia
VIV-00614,Vivienda,91,5,Argentina
VIV-00615,Vivienda,113,5,Argentina
VIV-00616,Vivienda,53,5,Peru
VIV-00617,Vivienda,61,5,Mexico
COM-00618,Comercio,55,4,Mexico
COM-00619,Comercio,131,3,Chile
VIV-00620,Vivienda,96,5,Brasil
COM-00621,Comercio,188,5,Chile
VIV-00622,Vivienda,65,6,Brasil
VIV-00623,Vivienda,68,1,Argentina
VIV-00624,Vivienda,125,6,Brasil
VIV-00625,Vivienda,117,2,Chile
VIV-00626,Vivienda,90,2,Chile
VIV-00627,Vivienda,96,2,Mexico
VIV-00628,Vivienda,80,3,Peru
VIV-00629,Vivienda,95,6,Chile
VIV-00630,Vivienda,110,2,Peru
COM-00631,Comercio,134,4,Mexico
VIV-00632,Vivienda,98,2,Brasil
VIV-00633,Vivienda,80,1,Peru
VIV-00634,Vivienda,40,4,Argentina
COM-00635,Comercio,192,9,Colombia
VIV-00636,Vivienda,145,2,Argentina
VIV-00637,Vivienda,110,4,Brasil
VIV-00638,Vivienda,78,4,Peru
VIV-00639,Vivienda,98,1,Brasil
VIV-00640,Vivienda,118,3,Peru
VIV-00641,Vivienda,71,6,Chile
VIV-00642,Vivienda,90,6,Chile
VIV-00643,Vivienda,82,3,Peru
COM-00644,Comercio,109,8,Brasil
VIV-00645,Vivienda,140,6,Chile
VIV-00646,Vivienda,132,1,Brasil
COM-00647,Comercio,99,5,Peru
COM-00648,Comercio,115,3,Mexico
COM-00649,Comercio,78,9,Mexico
VIV-00650,Vivienda,100,2,Argentina
COM-00651,Comercio,75,10,Chile
COM-00652,Comercio,65,12,Colombia
VIV-00653,Vivienda,45,4,Chile
VIV-00654,Vivienda,49,1,Argentina
VIV-00655,Vivienda,100,4,Argentina
COM-00656,Comercio,105,4,Chile
VIV-00657,Vivienda,66,3,Peru
VIV-00658,Vivienda,90,4,Peru
