id_equipo,id_inmueble,tipo_equipo,cantidad_equipos,potencia_watts,tecnologia_inverter,horas_uso_estimadas_dia,consumo_kwh_dia_equipo
EQ-00054,VIV-00018,Refrigeracion,1,350,False,24.0,8.4
EQ-00055,VIV-00018,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00056,VIV-00019,Iluminacion,25,15,True,11.2,4.2
EQ-00057,VIV-00019,Refrigeracion,1,350,False,24.0,8.4
EQ-00058,VIV-00019,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00059,VIV-00020,Iluminacion,26,15,True,7.75,3.0225
EQ-00060,VIV-00020,Refrigeracion,1,350,False,24.0,8.4
EQ-00061,VIV-00020,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00062,VIV-00021,Iluminacion,11,15,True,11.92,1.9668
EQ-00063,VIV-00021,Refrigeracion,1,180,True,24.0,4.32
EQ-00064,VIV-00021,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00065,VIV-00022,Iluminacion,13,15,True,6.82,1.3299
EQ-00066,VIV-00022,Refrigeracion,1,350,False,24.0,8.4
EQ-00067,VIV-00022,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00068,COM-00023,Iluminacion,42,15,True,6.68,4.2084
EQ-00069,COM-00023,Climatizacion,3,2200,True,9.0,59.4
EQ-00070,COM-00023,Computacion,9,150,True,8.0,10.8
EQ-00071,COM-00023,Refrigeracion,2,750,False,24.0,36.0
EQ-00072,VIV-00024,Iluminacion,19,15,True,8.42,2.3997
EQ-00073,VIV-00024,Refrigeracion,1,180,True,24.0,4.32
EQ-00074,VIV-00024,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00075,VIV-00025,Iluminacion,29,15,True,11.35,4.9372
EQ-00076,VIV-00025,Refrigeracion,1,180,True,24.0,4.32
EQ-00077,VIV-00025,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00078,VIV-00026,Iluminacion,20,15,True,7.36,2.208
EQ-00079,VIV-00026,Refrigeracion,1,350,False,24.0,8.4
EQ-00080,VIV-00026,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00081,COM-00027,Iluminacion,49,15,True,9.97,7.328
EQ-00082,COM-00027,Climatizacion,1,2200,False,9.0,19.8
EQ-00083,COM-00027,Computacion,4,150,True,8.0,4.8
EQ-00084,COM-00027,Refrigeracion,1,750,False,24.0,18.0
EQ-00085,COM-00028,Iluminacion,59,15,True,6.25,5.5312
EQ-00086,COM-00028,Climatizacion,2,2200,False,9.0,39.6
EQ-00087,COM-00028,Computacion,2,150,True,8.0,2.4
EQ-00088,VIV-00029,Iluminacion,27,15,True,11.61,4.702
EQ-00089,VIV-00029,Refrigeracion,1,180,True,24.0,4.32
EQ-00090,VIV-00029,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00091,COM-00030,Iluminacion,53,15,True,9.66,7.6797
EQ-00092,COM-00030,Climatizacion,1,2200,True,9.0,19.8
EQ-00093,COM-00030,Computacion,5,150,True,8.0,6.0
EQ-00094,VIV-00031,Iluminacion,12,15,True,9.33,1.6794
EQ-00095,VIV-00031,Refrigeracion,1,180,True,24.0,4.32
EQ-00096,VIV-00031,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00097,VIV-00032,Iluminacion,22,15,True,10.86,3.5838
EQ-00098,VIV-00032,Refrigeracion,1,350,False,24.0,8.4
EQ-00099,VIV-00032,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00100,VIV-00033,Iluminacion,13,15,True,7.84,1.5288
EQ-00101,VIV-00033,Refrigeracion,1,180,True,24.0,4.32
EQ-00102,VIV-00033,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00103,COM-00034,Iluminacion,27,15,True,8.52,3.4506
EQ-00104,COM-00034,Climatizacion,2,2200,False,9.0,39.6
EQ-00105,COM-00034,Computacion,11,150,True,8.0,13.2
EQ-00106,VIV-00035,Iluminacion,10,15,True,9.64,1.446
EQ-00107,VIV-00035,Refrigeracion,1,350,False,24.0,8.4
EQ-00108,VIV-00035,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00109,COM-00036,Iluminacion,21,15,True,9.62,3.0303
EQ-00110,COM-00036,Climatizacion,1,2200,True,9.0,19.8
EQ-00111,COM-00036,Computacion,7,150,True,8.0,8.4
EQ-00112,VIV-00037,Iluminacion,12,15,True,10.67,1.9206
EQ-00113,VIV-00037,Refrigeracion,1,350,False,24.0,8.4
EQ-00114,VIV-00037,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00115,VIV-00038,Iluminacion,28,15,True,10.1,4.242
EQ-00116,VIV-00038,Refrigeracion,1,350,False,24.0,8.4
EQ-00117,VIV-00038,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00118,COM-00039,Iluminacion,51,15,True,8.93,6.8314
EQ-00119,COM-00039,Climatizacion,2,2200,True,9.0,39.6
EQ-00120,COM-00039,Computacion,4,150,True,8.0,4.8
EQ-00121,COM-00039,Refrigeracion,2,750,False,24.0,36.0
EQ-00122,COM-00040,Iluminacion,36,15,True,6.73,3.6342
EQ-00123,COM-00040,Climatizacion,2,2200,False,9.0,39.6
EQ-00124,COM-00040,Computacion,8,150,True,8.0,9.6
EQ-00125,COM-00040,Refrigeracion,2,750,False,24.0,36.0
EQ-00126,COM-00041,Iluminacion,42,15,True,8.3,5.229
EQ-00127,COM-00041,Climatizacion,2,2200,True,9.0,39.6
EQ-00128,COM-00041,Computacion,3,150,True,8.0,3.6
EQ-00129,COM-00041,Refrigeracion,1,750,False,24.0,18.0
EQ-00130,COM-00042,Iluminacion,20,15,True,6.75,2.025
EQ-00131,COM-00042,Climatizacion,2,2200,True,9.0,39.6
EQ-00132,COM-00042,Computacion,8,150,True,8.0,9.6
EQ-00133,VIV-00043,Iluminacion,27,15,True,7.8,3.159
EQ-00134,VIV-00043,Refrigeracion,1,180,True,24.0,4.32
EQ-00135,VIV-00043,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00136,VIV-00044,Iluminacion,11,15,True,8.16,1.3464
EQ-00137,VIV-00044,Refrigeracion,1,180,True,24.0,4.32
EQ-00138,VIV-00044,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00139,VIV-00045,Iluminacion,29,15,True,8.93,3.8846
EQ-00140,VIV-00045,Refrigeracion,1,180,True,24.0,4.32
EQ-00141,VIV-00045,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00142,VIV-00046,Iluminacion,12,15,True,9.0,1.62
EQ-00143,VIV-00046,Refrigeracion,1,180,True,24.0,4.32
EQ-00144,VIV-00046,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00145,VIV-00047,Iluminacion,26,15,True,7.59,2.9601
EQ-00146,VIV-00047,Refrigeracion,1,180,True,24.0,4.32
EQ-00147,VIV-00047,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00148,VIV-00048,Iluminacion,19,15,True,11.6,3.306
EQ-00149,VIV-00048,Refrigeracion,1,180,True,24.0,4.32
EQ-00150,VIV-00048,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00151,VIV-00049,Iluminacion,18,15,True,11.11,2.9997
EQ-00152,VIV-00049,Refrigeracion,1,180,True,24.0,4.32
EQ-00153,VIV-00049,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00154,COM-00050,Iluminacion,27,15,True,11.79,4.7749
EQ-00155,COM-00050,Climatizacion,3,2200,True,9.0,59.4
EQ-00156,COM-00050,Computacion,11,150,True,8.0,13.2
EQ-00157,COM-00051,Iluminacion,37,15,True,6.51,3.613
EQ-00158,COM-00051,Climatizacion,1,2200,True,9.0,19.8
EQ-00159,COM-00051,Computacion,12,150,True,8.0,14.4
EQ-00160,COM-00051,Refrigeracion,1,750,False,24.0,18.0
EQ-00161,VIV-00052,Iluminacion,20,15,True,6.63,1.989
EQ-00162,VIV-00052,Refrigeracion,1,350,False,24.0,8.4
EQ-00163,VIV-00052,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00164,VIV-00053,Iluminacion,26,15,True,7.5,2.925
EQ-00165,VIV-00053,Refrigeracion,1,180,True,24.0,4.32
EQ-00166,VIV-00053,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00167,VIV-00054,Iluminacion,25,15,True,11.11,4.1662
EQ-00168,VIV-00054,Refrigeracion,1,180,True,24.0,4.32
EQ-00169,VIV-00054,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00170,VIV-00055,Iluminacion,10,15,True,11.88,1.782
EQ-00171,VIV-00055,Refrigeracion,1,350,False,24.0,8.4
EQ-00172,VIV-00055,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00173,COM-00056,Iluminacion,22,15,True,9.09,2.9997
EQ-00174,COM-00056,Climatizacion,3,2200,False,9.0,59.4
EQ-00175,COM-00056,Computacion,12,150,True,8.0,14.4
EQ-00176,VIV-00057,Iluminacion,22,15,True,7.01,2.3133
EQ-00177,VIV-00057,Refrigeracion,1,180,True,24.0,4.32
EQ-00178,VIV-00057,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00179,VIV-00058,Iluminacion,14,15,True,7.21,1.5141
EQ-00180,VIV-00058,Refrigeracion,1,180,True,24.0,4.32
EQ-00181,VIV-00058,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00182,VIV-00059,Iluminacion,22,15,True,10.14,3.3462
EQ-00183,VIV-00059,Refrigeracion,1,180,True,24.0,4.32
EQ-00184,VIV-00059,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00185,VIV-00060,Iluminacion,13,15,True,11.37,2.2171
EQ-00186,VIV-00060,Refrigeracion,1,180,True,24.0,4.32
EQ-00187,VIV-00060,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00188,VIV-00061,Iluminacion,29,15,True,7.07,3.0755
EQ-00189,VIV-00061,Refrigeracion,1,180,True,24.0,4.32
EQ-00190,VIV-00061,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00191,VIV-00062,Iluminacion,16,15,True,8.92,2.1408
EQ-00192,VIV-00062,Refrigeracion,1,180,True,24.0,4.32
EQ-00193,VIV-00062,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00194,COM-00063,Iluminacion,33,15,True,9.66,4.7817
EQ-00195,COM-00063,Climatizacion,3,2200,True,9.0,59.4
EQ-00196,COM-00063,Computacion,11,150,True,8.0,13.2
EQ-00197,VIV-00064,Iluminacion,27,15,True,7.52,3.0456
EQ-00198,VIV-00064,Refrigeracion,1,350,False,24.0,8.4
EQ-00199,VIV-00064,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00200,VIV-00065,Iluminacion,22,15,True,11.21,3.6993
EQ-00201,VIV-00065,Refrigeracion,1,180,True,24.0,4.32
EQ-00202,VIV-00065,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00203,VIV-00066,Iluminacion,26,15,True,9.2,3.588
EQ-00204,VIV-00066,Refrigeracion,1,180,True,24.0,4.32
EQ-00205,VIV-00066,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00206,VIV-00067,Iluminacion,22,15,True,7.9,2.607
EQ-00207,VIV-00067,Refrigeracion,1,350,False,24.0,8.4
EQ-00208,VIV-00067,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00209,VIV-00068,Iluminacion,12,15,True,6.16,1.1088
EQ-00210,VIV-00068,Refrigeracion,1,350,False,24.0,8.4
EQ-00211,VIV-00068,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00212,COM-00069,Iluminacion,27,15,True,10.24,4.1472
EQ-00213,COM-00069,Climatizacion,1,2200,False,9.0,19.8
EQ-00214,COM-00069,Computacion,11,150,True,8.0,13.2
EQ-00215,COM-00069,Refrigeracion,1,750,False,24.0,18.0
EQ-00216,VIV-00070,Iluminacion,13,15,True,9.52,1.8564
EQ-00217,VIV-00070,Refrigeracion,1,350,False,24.0,8.4
EQ-00218,VIV-00070,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00219,VIV-00071,Iluminacion,28,15,True,8.02,3.3684
EQ-00220,VIV-00071,Refrigeracion,1,180,True,24.0,4.32
EQ-00221,VIV-00071,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00222,VIV-00072,Iluminacion,21,15,True,8.49,2.6744
EQ-00223,VIV-00072,Refrigeracion,1,180,True,24.0,4.32
EQ-00224,VIV-00072,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00225,VIV-00073,Iluminacion,24,15,True,11.39,4.1004
EQ-00226,VIV-00073,Refrigeracion,1,180,True,24.0,4.32
EQ-00227,VIV-00073,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00228,VIV-00074,Iluminacion,24,15,True,11.4,4.104
EQ-00229,VIV-00074,Refrigeracion,1,350,False,24.0,8.4
EQ-00230,VIV-00074,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00231,VIV-00075,Iluminacion,22,15,True,7.8,2.574
EQ-00232,VIV-00075,Refrigeracion,1,350,False,24.0,8.4
EQ-00233,VIV-00075,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00234,COM-00076,Iluminacion,36,15,True,9.81,5.2974
EQ-00235,COM-00076,Climatizacion,2,2200,False,9.0,39.6
EQ-00236,COM-00076,Computacion,6,150,True,8.0,7.2
EQ-00237,VIV-00077,Iluminacion,23,15,True,10.22,3.5259
EQ-00238,VIV-00077,Refrigeracion,1,350,False,24.0,8.4
EQ-00239,VIV-00077,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00240,VIV-00078,Iluminacion,23,15,True,10.29,3.55
EQ-00241,VIV-00078,Refrigeracion,1,350,False,24.0,8.4
EQ-00242,VIV-00078,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00243,VIV-00079,Iluminacion,17,15,True,10.93,2.7872
EQ-00244,VIV-00079,Refrigeracion,1,180,True,24.0,4.32
EQ-00245,VIV-00079,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00246,COM-00080,Iluminacion,33,15,True,8.85,4.3808
EQ-00247,COM-00080,Climatizacion,2,2200,False,9.0,39.6
EQ-00248,COM-00080,Computacion,10,150,True,8.0,12.0
EQ-00249,COM-00080,Refrigeracion,2,750,False,24.0,36.0
EQ-00250,VIV-00081,Iluminacion,25,15,True,9.42,3.5325
EQ-00251,VIV-00081,Refrigeracion,1,180,True,24.0,4.32
EQ-00252,VIV-00081,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00253,COM-00082,Iluminacion,21,15,True,11.36,3.5784
EQ-00254,COM-00082,Climatizacion,3,2200,False,9.0,59.4
EQ-00255,COM-00082,Computacion,9,150,True,8.0,10.8
EQ-00256,COM-00082,Refrigeracion,2,750,False,24.0,36.0
EQ-00257,COM-00083,Iluminacion,31,15,True,6.76,3.1434
EQ-00258,COM-00083,Climatizacion,1,2200,True,9.0,19.8
EQ-00259,COM-00083,Computacion,4,150,True,8.0,4.8
EQ-00260,COM-00083,Refrigeracion,1,750,False,24.0,18.0
EQ-00261,VIV-00084,Iluminacion,13,15,True,7.15,1.3942
EQ-00262,VIV-00084,Refrigeracion,1,180,True,24.0,4.32
EQ-00263,VIV-00084,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00264,VIV-00085,Iluminacion,21,15,True,9.0,2.835
EQ-00265,VIV-00085,Refrigeracion,1,350,False,24.0,8.4
EQ-00266,VIV-00085,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00267,VIV-00086,Iluminacion,18,15,True,10.36,2.7972
EQ-00268,VIV-00086,Refrigeracion,1,350,False,24.0,8.4
EQ-00269,VIV-00086,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00270,VIV-00087,Iluminacion,24,15,True,7.89,2.8404
EQ-00271,VIV-00087,Refrigeracion,1,180,True,24.0,4.32
EQ-00272,VIV-00087,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00273,VIV-00088,Iluminacion,26,15,True,8.03,3.1317
EQ-00274,VIV-00088,Refrigeracion,1,350,False,24.0,8.4
EQ-00275,VIV-00088,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00276,VIV-00089,Iluminacion,15,15,True,6.56,1.476
EQ-00277,VIV-00089,Refrigeracion,1,180,True,24.0,4.32
EQ-00278,VIV-00089,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00279,VIV-00090,Iluminacion,11,15,True,7.74,1.2771
EQ-00280,VIV-00090,Refrigeracion,1,180,True,24.0,4.32
EQ-00281,VIV-00090,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00282,VIV-00091,Iluminacion,11,15,True,7.36,1.2144
EQ-00283,VIV-00091,Refrigeracion,1,350,False,24.0,8.4
EQ-00284,VIV-00091,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00285,VIV-00092,Iluminacion,22,15,True,11.51,3.7983
EQ-00286,VIV-00092,Refrigeracion,1,180,True,24.0,4.32
EQ-00287,VIV-00092,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00288,COM-00093,Iluminacion,58,15,True,9.54,8.2998
EQ-00289,COM-00093,Climatizacion,2,2200,False,9.0,39.6
EQ-00290,COM-00093,Computacion,10,150,True,8.0,12.0
EQ-00291,COM-00094,Iluminacion,45,15,True,6.59,4.4482
EQ-00292,COM-00094,Climatizacion,3,2200,True,9.0,59.4
EQ-00293,COM-00094,Computacion,9,150,True,8.0,10.8
EQ-00294,VIV-00095,Iluminacion,14,15,True,6.77,1.4217
EQ-00295,VIV-00095,Refrigeracion,1,350,False,24.0,8.4
EQ-00296,VIV-00095,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00297,COM-00096,Iluminacion,59,15,True,7.63,6.7526
EQ-00298,COM-00096,Climatizacion,1,2200,True,9.0,19.8
EQ-00299,COM-00096,Computacion,3,150,True,8.0,3.6
EQ-00300,COM-00097,Iluminacion,31,15,True,9.19,4.2734
EQ-00301,COM-00097,Climatizacion,1,2200,True,9.0,19.8
EQ-00302,COM-00097,Computacion,9,150,True,8.0,10.8
EQ-00303,VIV-00098,Iluminacion,10,15,True,7.81,1.1715
EQ-00304,VIV-00098,Refrigeracion,1,180,True,24.0,4.32
EQ-00305,VIV-00098,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00306,VIV-00099,Iluminacion,24,15,True,6.92,2.4912
EQ-00307,VIV-00099,Refrigeracion,1,350,False,24.0,8.4
EQ-00308,VIV-00099,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00309,COM-00100,Iluminacion,23,15,True,7.17,2.4736
EQ-00310,COM-00100,Climatizacion,2,2200,False,9.0,39.6
EQ-00311,COM-00100,Computacion,9,150,True,8.0,10.8
EQ-00312,COM-00100,Refrigeracion,2,750,False,24.0,36.0
EQ-00313,VIV-00101,Iluminacion,17,15,True,7.71,1.966
EQ-00314,VIV-00101,Refrigeracion,1,180,True,24.0,4.32
EQ-00315,VIV-00101,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00316,COM-00102,Iluminacion,50,15,True,10.79,8.0925
EQ-00317,COM-00102,Climatizacion,2,2200,True,9.0,39.6
EQ-00318,COM-00102,Computacion,4,150,True,8.0,4.8
EQ-00319,COM-00102,Refrigeracion,1,750,False,24.0,18.0
EQ-00320,VIV-00103,Iluminacion,24,15,True,6.11,2.1996
EQ-00321,VIV-00103,Refrigeracion,1,180,True,24.0,4.32
EQ-00322,VIV-00103,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00323,VIV-00104,Iluminacion,28,15,True,8.37,3.5154
EQ-00324,VIV-00104,Refrigeracion,1,180,True,24.0,4.32
EQ-00325,VIV-00104,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00326,COM-00105,Iluminacion,40,15,True,8.23,4.938
EQ-00327,COM-00105,Climatizacion,2,2200,False,9.0,39.6
EQ-00328,COM-00105,Computacion,5,150,True,8.0,6.0
EQ-00329,COM-00106,Iluminacion,42,15,True,11.07,6.9741
EQ-00330,COM-00106,Climatizacion,3,2200,True,9.0,59.4
EQ-00331,COM-00106,Computacion,3,150,True,8.0,3.6
EQ-00332,COM-00107,Iluminacion,26,15,True,9.91,3.8649
EQ-00333,COM-00107,Climatizacion,3,2200,True,9.0,59.4
EQ-00334,COM-00107,Computacion,11,150,True,8.0,13.2
EQ-00335,COM-00107,Refrigeracion,1,750,False,24.0,18.0
EQ-00336,VIV-00108,Iluminacion,13,15,True,6.59,1.285
EQ-00337,VIV-00108,Refrigeracion,1,180,True,24.0,4.32
EQ-00338,VIV-00108,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00339,VIV-00109,Iluminacion,20,15,True,10.35,3.105
EQ-00340,VIV-00109,Refrigeracion,1,180,True,24.0,4.32
EQ-00341,VIV-00109,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00342,VIV-00110,Iluminacion,23,15,True,11.97,4.1297
EQ-00343,VIV-00110,Refrigeracion,1,350,False,24.0,8.4
EQ-00344,VIV-00110,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00345,VIV-00111,Iluminacion,10,15,True,10.26,1.539
EQ-00346,VIV-00111,Refrigeracion,1,180,True,24.0,4.32
EQ-00347,VIV-00111,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00348,VIV-00112,Iluminacion,16,15,True,11.82,2.8368
EQ-00349,VIV-00112,Refrigeracion,1,350,False,24.0,8.4
EQ-00350,VIV-00112,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00351,VIV-00113,Iluminacion,24,15,True,10.07,3.6252
EQ-00352,VIV-00113,Refrigeracion,1,180,True,24.0,4.32
EQ-00353,VIV-00113,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00354,VIV-00114,Iluminacion,11,15,True,7.14,1.1781
EQ-00355,VIV-00114,Refrigeracion,1,350,False,24.0,8.4
EQ-00356,VIV-00114,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00357,COM-00115,Iluminacion,28,15,True,6.79,2.8518
EQ-00358,COM-00115,Climatizacion,3,2200,False,9.0,59.4
EQ-00359,COM-00115,Computacion,8,150,True,8.0,9.6
EQ-00360,COM-00115,Refrigeracion,1,750,False,24.0,18.0
EQ-00361,COM-00116,Iluminacion,31,15,True,11.15,5.1848
EQ-00362,COM-00116,Climatizacion,3,2200,True,9.0,59.4
EQ-00363,COM-00116,Computacion,12,150,True,8.0,14.4
EQ-00364,VIV-00117,Iluminacion,21,15,True,11.13,3.506
EQ-00365,VIV-00117,Refrigeracion,1,180,True,24.0,4.32
EQ-00366,VIV-00117,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00367,VIV-00118,Iluminacion,15,15,True,11.66,2.6235
EQ-00368,VIV-00118,Refrigeracion,1,350,False,24.0,8.4
EQ-00369,VIV-00118,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00370,VIV-00119,Iluminacion,11,15,True,8.46,1.3959
EQ-00371,VIV-00119,Refrigeracion,1,350,False,24.0,8.4
EQ-00372,VIV-00119,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00373,VIV-00120,Iluminacion,30,15,True,7.75,3.4875
EQ-00374,VIV-00120,Refrigeracion,1,350,False,24.0,8.4
