id_registro,id_inmueble,anio_mes_dd,pais_ubicacion,tipo_establecimiento,categoria_comercio,superficie_m2,habitantes_empleados,total_equipos,potencia_total_watts,tiene_inverter,porcentaje_inverter,consumo_kwh_dia,consumo_kwh_mes,intensidad_energetica_kwh_m2,costo_factura_usd,costo_factura_moneda_local,codigo_moneda,pct_dist_madrugada,pct_dist_manana,pct_dist_tarde,pct_dist_noche,franja_pico_dominante,efficiency_label
REG-00011,VIV-00010,2026-07-01,Chile,Vivienda,No Aplica,91,6,23.0,1865.0,1.0,0.3333,12.679,380.37,4.1799,285.28,262457.6,CLP,0.1396,0.1677,0.1828,0.5099,noche,Ineficiente
REG-00012,COM-00011,2026-07-01,Colombia,Comercio,Categoria C,54,5,27.0,3345.0,1.0,0.5,73.87,2216.1,41.0389,1662.07,6814487.0,COP,0.2481,0.2333,0.2274,0.2912,noche,Eficiente
REG-00013,VIV-00012,2026-07-01,Colombia,Vivienda,No Aplica,84,4,12.0,1700.0,1.0,0.3333,11.3357,340.07,4.0485,255.05,1045705.0,COP,0.1595,0.2065,0.2355,0.3984,noche,Ineficiente
REG-00014,VIV-00013,2026-07-01,Colombia,Vivienda,No Aplica,82,3,21.0,1665.0,1.0,0.6667,8.323,249.69,3.045,187.27,767807.0,COP,0.1024,0.1765,0.1924,0.5287,noche,Ineficiente
REG-00015,VIV-00014,2026-07-01,Colombia,Vivienda,No Aplica,93,5,32.0,2000.0,1.0,0.3333,13.188,395.64,4.2542,296.73,1216593.0,COP,0.084,0.1415,0.2034,0.571,noche,Ineficiente
REG-00016,VIV-00015,2026-07-01,Mexico,Vivienda,No Aplica,82,6,24.0,1880.0,1.0,0.3333,12.52,375.6,4.5805,281.7,5211.45,MXN,0.1188,0.198,0.2541,0.4291,noche,Ineficiente
REG-00017,VIV-00016,2026-07-01,Colombia,Vivienda,No Aplica,88,4,16.0,1590.0,1.0,0.6667,7.2477,217.43,2.4708,163.07,668587.0,COP,0.1054,0.1217,0.2758,0.497,noche,Ineficiente
REG-00018,COM-00017,2026-07-01,Mexico,Comercio,Categoria B,92,7,24.0,9300.0,1.0,0.3333,75.683,2270.49,24.6792,1702.87,31503.09,MXN,0.0859,0.2614,0.4504,0.2023,tarde,Eficiente
REG-00019,VIV-00018,2026-07-01,Chile,Vivienda,No Aplica,82,3,27.0,1925.0,1.0,0.3333,12.6377,379.13,4.6235,284.35,261602.0,CLP,0.131,0.131,0.2637,0.4743,noche,Ineficiente
REG-00020,VIV-00019,2026-07-01,Argentina,Vivienda,No Aplica,89,6,32.0,1830.0,1.0,0.6667,9.0137,270.41,3.0383,202.81,192669.5,ARS,0.0819,0.1252,0.2596,0.5333,noche,Ineficiente
REG-00021,VIV-00020,2026-07-01,Chile,Vivienda,No Aplica,46,3,30.0,1800.0,1.0,0.6667,9.0767,272.3,5.9196,204.23,187891.6,CLP,0.0802,0.1326,0.2191,0.5681,noche,Ineficiente
REG-00022,VIV-00021,2026-07-01,Peru,Vivienda,No Aplica,103,4,22.0,1850.0,1.0,0.3333,11.706,351.18,3.4095,263.38,987.67,PEN,0.1018,0.1992,0.2329,0.4661,noche,Ineficiente
REG-00023,VIV-00022,2026-07-01,Brasil,Vivienda,No Aplica,143,2,16.0,1590.0,1.0,0.6667,7.506,225.18,1.5747,168.88,920.4,BRL,0.1527,0.1304,0.2028,0.5141,noche,Ineficiente
REG-00024,VIV-00023,2026-07-01,Mexico,Vivienda,No Aplica,93,4,28.0,1940.0,1.0,0.3333,12.2083,366.25,3.9382,274.69,5081.77,MXN,0.1061,0.1884,0.2309,0.4746,noche,Ineficiente
REG-00025,VIV-00024,2026-07-01,Peru,Vivienda,No Aplica,75,3,16.0,1760.0,1.0,0.3333,11.5397,346.19,4.6159,259.64,973.65,PEN,0.1201,0.1915,0.2396,0.4489,noche,Ineficiente
REG-00026,VIV-00025,2026-07-01,Chile,Vivienda,No Aplica,70,4,19.0,1635.0,1.0,0.6667,7.8463,235.39,3.3627,176.54,162416.8,CLP,0.1474,0.2047,0.2445,0.4033,noche,Ineficiente
REG-00027,VIV-00026,2026-07-01,Chile,Vivienda,No Aplica,56,1,31.0,1985.0,1.0,0.3333,13.4713,404.14,7.2168,303.11,278861.2,CLP,0.0896,0.129,0.2544,0.527,noche,Ineficiente
REG-00028,VIV-00027,2026-07-01,Colombia,Vivienda,No Aplica,102,3,13.0,1715.0,1.0,0.3333,11.0283,330.85,3.2436,248.14,1017374.0,COP,0.0893,0.1717,0.1893,0.5497,noche,Ineficiente
REG-00029,VIV-00028,2026-07-01,Argentina,Vivienda,No Aplica,109,1,12.0,1700.0,1.0,0.3333,11.0477,331.43,3.0406,248.57,236141.5,ARS,0.1424,0.2018,0.2111,0.4447,noche,Ineficiente
REG-00030,VIV-00029,2026-07-01,Argentina,Vivienda,No Aplica,144,1,15.0,1575.0,1.0,0.6667,7.639,229.17,1.5915,171.88,163286.0,ARS,0.1371,0.2007,0.2131,0.4491,noche,Ineficiente
REG-00031,COM-00030,2026-07-01,Chile,Comercio,Categoria B,101,2,20.0,9240.0,1.0,0.3333,75.4423,2263.27,22.4086,1697.45,1561654.0,CLP,0.0579,0.2812,0.4191,0.2418,tarde,Eficiente
REG-00032,VIV-00031,2026-07-01,Argentina,Vivienda,No Aplica,62,1,16.0,1760.0,1.0,0.3333,11.2603,337.81,5.4485,253.36,240692.0,ARS,0.1086,0.1205,0.2462,0.5247,noche,Ineficiente
REG-00033,VIV-00032,2026-07-01,Brasil,Vivienda,No Aplica,59,5,27.0,1925.0,1.0,0.3333,13.0463,391.39,6.6337,293.54,1599.79,BRL,0.1176,0.2083,0.1804,0.4938,noche,Ineficiente
REG-00034,COM-00033,2026-07-01,Argentina,Comercio,Categoria C,39,8,32.0,1950.0,1.0,0.5,38.9833,1169.5,29.9872,877.12,833264.0,ARS,0.2363,0.2595,0.2713,0.233,tarde,Eficiente
REG-00035,VIV-00034,2026-07-01,Colombia,Vivienda,No Aplica,79,4,29.0,1955.0,1.0,0.3333,12.4193,372.58,4.7162,279.44,1145704.0,COP,0.1355,0.1366,0.1968,0.5311,noche,Ineficiente
REG-00036,VIV-00035,2026-07-01,Peru,Vivienda,No Aplica,81,6,17.0,1775.0,1.0,0.3333,11.8493,355.48,4.3886,266.61,999.79,PEN,0.1517,0.172,0.2758,0.4005,noche,Ineficiente
REG-00037,COM-00036,2026-07-01,Colombia,Comercio,Categoria B,87,9,27.0,9345.0,1.0,0.6667,76.353,2290.59,26.3286,1717.94,7043554.0,COP,0.0517,0.265,0.4054,0.2779,tarde,Eficiente
REG-00038,VIV-00037,2026-07-01,Argentina,Vivienda,No Aplica,50,1,13.0,1545.0,1.0,0.6667,6.9813,209.44,4.1888,157.08,149226.0,ARS,0.1186,0.192,0.2688,0.4206,noche,Moderado
REG-00039,VIV-00038,2026-07-01,Colombia,Vivienda,No Aplica,59,3,31.0,1815.0,1.0,0.6667,8.469,254.07,4.3063,190.55,781255.0,COP,0.1252,0.1287,0.1927,0.5534,noche,Ineficiente
REG-00040,VIV-00039,2026-07-01,Brasil,Vivienda,No Aplica,78,3,28.0,1940.0,1.0,0.3333,12.774,383.22,4.9131,287.42,1566.44,BRL,0.0825,0.1462,0.1858,0.5856,noche,Ineficiente
REG-00041,COM-00040,2026-07-01,Brasil,Comercio,Categoria B,150,5,21.0,9255.0,1.0,0.6667,75.382,2261.46,15.0764,1696.1,9243.74,BRL,0.0528,0.318,0.4103,0.2189,tarde,Eficiente
REG-00042,VIV-00041,2026-07-01,Chile,Vivienda,No Aplica,49,5,14.0,1560.0,1.0,0.6667,7.3153,219.46,4.4788,164.59,151422.8,CLP,0.1172,0.1862,0.2634,0.4332,noche,Ineficiente
REG-00043,VIV-00042,2026-07-01,Mexico,Vivienda,No Aplica,86,2,21.0,1835.0,1.0,0.3333,12.081,362.43,4.2143,271.82,5028.67,MXN,0.0993,0.1728,0.212,0.5159,noche,Ineficiente
REG-00044,VIV-00043,2026-07-01,Colombia,Vivienda,No Aplica,71,4,31.0,1985.0,1.0,0.3333,12.984,389.52,5.4862,292.14,1197774.0,COP,0.0951,0.1815,0.2602,0.4632,noche,Ineficiente
REG-00045,VIV-00044,2026-07-01,Brasil,Vivienda,No Aplica,119,1,21.0,1665.0,1.0,0.6667,8.058,241.74,2.0314,181.31,988.14,BRL,0.0895,0.1325,0.1864,0.5915,noche,Ineficiente
REG-00046,COM-00045,2026-07-01,Colombia,Comercio,Categoria C,38,9,18.0,1740.0,1.0,0.5,37.3823,1121.47,29.5124,841.1,3448510.0,COP,0.273,0.255,0.2718,0.2002,madrugada,Eficiente
REG-00047,VIV-00046,2026-07-01,Peru,Vivienda,No Aplica,94,1,19.0,1805.0,1.0,0.3333,11.5947,347.84,3.7004,260.88,978.3,PEN,0.1007,0.1782,0.2213,0.4999,noche,Ineficiente
REG-00048,VIV-00047,2026-07-01,Mexico,Vivienda,No Aplica,116,2,27.0,1755.0,1.0,0.6667,7.995,239.85,2.0677,179.89,3327.96,MXN,0.1377,0.1899,0.1838,0.4886,noche,Ineficiente
REG-00049,VIV-00048,2026-07-01,Peru,Vivienda,No Aplica,85,6,29.0,1785.0,1.0,0.6667,8.4567,253.7,2.9847,190.27,713.51,PEN,0.0864,0.1711,0.2522,0.4903,noche,Ineficiente
REG-00050,VIV-00049,2026-07-01,Brasil,Vivienda,No Aplica,93,2,24.0,1880.0,1.0,0.3333,12.2657,367.97,3.9567,275.98,1504.09,BRL,0.1161,0.1699,0.2644,0.4496,noche,Ineficiente
REG-00051,VIV-00050,2026-07-01,Colombia,Vivienda,No Aplica,94,3,14.0,1730.0,1.0,0.3333,11.2187,336.56,3.5804,252.42,1034922.0,COP,0.1097,0.1474,0.1817,0.5611,noche,Ineficiente
REG-00052,VIV-00051,2026-07-01,Argentina,Vivienda,No Aplica,80,2,23.0,1865.0,1.0,0.3333,12.1847,365.54,4.5692,274.16,260452.0,ARS,0.0832,0.1455,0.2531,0.5182,noche,Ineficiente
REG-00053,VIV-00052,2026-07-01,Mexico,Vivienda,No Aplica,70,5,15.0,1745.0,1.0,0.3333,11.567,347.01,4.9573,260.26,4814.81,MXN,0.1413,0.2097,0.1856,0.4634,noche,Ineficiente
REG-00054,VIV-00053,2026-07-01,Brasil,Vivienda,No Aplica,101,2,21.0,1665.0,1.0,0.6667,7.927,237.81,2.3546,178.36,972.06,BRL,0.1302,0.1299,0.2747,0.4652,noche,Ineficiente
REG-00055,COM-00054,2026-07-01,Colombia,Comercio,Categoria C,56,11,23.0,1815.0,1.0,0.5,38.0883,1142.65,20.4045,856.99,3513659.0,COP,0.272,0.2361,0.2616,0.2304,madrugada,Eficiente
REG-00056,COM-00055,2026-07-01,Chile,Comercio,Categoria B,121,3,27.0,9345.0,1.0,0.3333,76.0217,2280.65,18.8483,1710.49,1573650.8,CLP,0.1057,0.2981,0.4524,0.1438,tarde,Eficiente
REG-00057,VIV-00056,2026-07-01,Brasil,Vivienda,No Aplica,116,3,29.0,1785.0,1.0,0.6667,8.4203,252.61,2.1777,189.46,1032.56,BRL,0.0819,0.1923,0.2467,0.4791,noche,Ineficiente
REG-00058,VIV-00057,2026-07-01,Brasil,Vivienda,No Aplica,42,6,18.0,1620.0,1.0,0.6667,7.8047,234.14,5.5748,175.6,957.02,BRL,0.1439,0.1305,0.2459,0.4797,noche,Ineficiente
REG-00059,VIV-00058,2026-07-01,Mexico,Vivienda,No Aplica,50,4,14.0,1560.0,1.0,0.6667,7.5563,226.69,4.5338,170.02,3145.37,MXN,0.1102,0.1692,0.1845,0.5361,noche,Ineficiente
REG-00060,VIV-00059,2026-07-01,Peru,Vivienda,No Aplica,112,2,13.0,1715.0,1.0,0.3333,11.4393,343.18,3.0641,257.38,965.17,PEN,0.1477,0.1985,0.2746,0.3792,noche,Ineficiente
REG-00061,VIV-00060,2026-07-01,Mexico,Vivienda,No Aplica,105,1,21.0,1835.0,1.0,0.3333,11.759,352.77,3.3597,264.58,4894.73,MXN,0.1133,0.1879,0.2456,0.4532,noche,Ineficiente
REG-00062,VIV-00061,2026-07-01,Brasil,Vivienda,No Aplica,121,4,29.0,1955.0,1.0,0.3333,12.711,381.33,3.1515,286.0,1558.7,BRL,0.1512,0.1881,0.268,0.3927,noche,Ineficiente
REG-00063,COM-00062,2026-07-01,Chile,Comercio,Categoria C,51,10,20.0,1770.0,1.0,0.5,37.8657,1135.97,22.2739,851.98,783821.6,CLP,0.2438,0.2533,0.2465,0.2564,noche,Eficiente
REG-00064,VIV-00063,2026-07-01,Argentina,Vivienda,No Aplica,40,6,18.0,1620.0,1.0,0.6667,7.4207,222.62,5.5655,166.97,158621.5,ARS,0.1365,0.1425,0.2252,0.4958,noche,Ineficiente
REG-00065,VIV-00064,2026-07-01,Colombia,Vivienda,No Aplica,94,3,23.0,1865.0,1.0,0.3333,12.6917,380.75,4.0505,285.56,1170796.0,COP,0.0819,0.1381,0.215,0.565,noche,Ineficiente
REG-00066,COM-00065,2026-07-01,Colombia,Comercio,Categoria A,102,10,25.0,1725.0,1.0,1.0,13.2353,397.06,3.8927,297.8,1220980.0,COP,0.0553,0.4309,0.4038,0.11,manana,Eficiente
REG-00067,VIV-00066,2026-07-01,Argentina,Vivienda,No Aplica,79,3,21.0,1665.0,1.0,0.6667,7.9527,238.58,3.02,178.94,169993.0,ARS,0.15,0.1882,0.2038,0.458,noche,Ineficiente
REG-00068,VIV-00067,2026-07-01,Argentina,Vivienda,No Aplica,49,1,27.0,1755.0,1.0,0.6667,9.0787,272.36,5.5584,204.27,194056.5,ARS,0.1447,0.2006,0.2439,0.4109,noche,Ineficiente
REG-00069,VIV-00068,2026-07-01,Peru,Vivienda,No Aplica,85,6,22.0,1680.0,1.0,0.6667,7.728,231.84,2.7275,173.88,652.05,PEN,0.1545,0.1687,0.2776,0.3992,noche,Ineficiente
REG-00070,VIV-00069,2026-07-01,Chile,Vivienda,No Aplica,45,5,18.0,1790.0,1.0,0.3333,11.8393,355.18,7.8929,266.38,245069.6,CLP,0.1028,0.1594,0.2078,0.53,noche,Ineficiente
REG-00071,VIV-00070,2026-07-01,Mexico,Vivienda,No Aplica,96,6,18.0,1620.0,1.0,0.6667,7.7567,232.7,2.424,174.52,3228.62,MXN,0.1024,0.2021,0.2356,0.46,noche,Ineficiente
REG-00072,VIV-00071,2026-07-01,Colombia,Vivienda,No Aplica,81,6,29.0,1955.0,1.0,0.3333,12.4517,373.55,4.6117,280.16,1148656.0,COP,0.1359,0.1336,0.1928,0.5377,noche,Ineficiente
REG-00073,VIV-00072,2026-07-01,Mexico,Vivienda,No Aplica,132,6,15.0,1575.0,1.0,0.6667,7.5827,227.48,1.7233,170.61,3156.29,MXN,0.105,0.1718,0.2074,0.5158,noche,Ineficiente
REG-00074,VIV-00073,2026-07-01,Peru,Vivienda,No Aplica,73,1,23.0,1695.0,1.0,0.6667,8.0007,240.02,3.2879,180.02,675.08,PEN,0.1588,0.1692,0.1915,0.4805,noche,Ineficiente
REG-00075,VIV-00074,2026-07-01,Chile,Vivienda,No Aplica,99,1,14.0,1560.0,1.0,0.6667,7.317,219.51,2.2173,164.63,151459.6,CLP,0.1136,0.2176,0.1913,0.4774,noche,Ineficiente
REG-00076,VIV-00075,2026-07-01,Argentina,Vivienda,No Aplica,59,1,21.0,1665.0,1.0,0.6667,8.0437,241.31,4.09,180.98,171931.0,ARS,0.1067,0.1307,0.1948,0.5677,noche,Ineficiente
REG-00077,VIV-00076,2026-07-01,Colombia,Vivienda,No Aplica,75,1,18.0,1620.0,1.0,0.6667,7.5817,227.45,3.0327,170.59,699419.0,COP,0.1312,0.1953,0.1945,0.4789,noche,Ineficiente
REG-00078,VIV-00077,2026-07-01,Mexico,Vivienda,No Aplica,92,5,13.0,1715.0,1.0,0.3333,11.3517,340.55,3.7016,255.41,4725.09,MXN,0.107,0.1833,0.2307,0.4789,noche,Ineficiente
REG-00079,COM-00078,2026-07-01,Brasil,Comercio,Categoria C,71,12,25.0,3315.0,1.0,0.5,73.7703,2213.11,31.1706,1659.83,9046.07,BRL,0.2501,0.2372,0.2707,0.242,tarde,Eficiente
REG-00080,COM-00079,2026-07-01,Mexico,Comercio,Categoria B,117,2,23.0,9285.0,1.0,0.3333,76.0803,2282.41,19.5078,1711.81,31668.49,MXN,0.0955,0.2907,0.4021,0.2117,tarde,Eficiente
REG-00081,VIV-00080,2026-07-01,Colombia,Vivienda,No Aplica,77,5,12.0,1530.0,1.0,0.6667,6.981,209.43,2.7199,157.07,643987.0,COP,0.1592,0.1233,0.2604,0.457,noche,Moderado
REG-00082,VIV-00081,2026-07-01,Chile,Vivienda,No Aplica,40,6,13.0,1545.0,1.0,0.6667,7.082,212.46,5.3115,159.34,146592.8,CLP,0.1047,0.1567,0.2642,0.4743,noche,Ineficiente
REG-00083,VIV-00082,2026-07-01,Colombia,Vivienda,No Aplica,55,2,20.0,1820.0,1.0,0.3333,11.693,350.79,6.378,263.09,1078669.0,COP,0.149,0.1983,0.2188,0.4339,noche,Ineficiente
REG-00084,VIV-00083,2026-07-01,Mexico,Vivienda,No Aplica,63,4,18.0,1620.0,1.0,0.6667,7.824,234.72,3.7257,176.04,3256.74,MXN,0.1577,0.1225,0.1888,0.5309,noche,Ineficiente
REG-00085,VIV-00084,2026-07-01,Colombia,Vivienda,No Aplica,133,6,20.0,1820.0,1.0,0.3333,11.7013,351.04,2.6394,263.28,1079448.0,COP,0.1492,0.2191,0.2465,0.3853,noche,Ineficiente
REG-00086,VIV-00085,2026-07-01,Colombia,Vivienda,No Aplica,80,3,27.0,1925.0,1.0,0.3333,13.0613,391.84,4.898,293.88,1204908.0,COP,0.0981,0.1383,0.2228,0.5409,noche,Ineficiente
REG-00087,VIV-00086,2026-07-01,Chile,Vivienda,No Aplica,113,2,19.0,1805.0,1.0,0.3333,12.0997,362.99,3.2123,272.24,250460.8,CLP,0.1068,0.1984,0.1815,0.5133,noche,Ineficiente
REG-00088,VIV-00087,2026-07-01,Colombia,Vivienda,No Aplica,70,5,20.0,1650.0,1.0,0.6667,7.5917,227.75,3.2536,170.81,700321.0,COP,0.1073,0.1885,0.2222,0.482,noche,Ineficiente
REG-00089,VIV-00088,2026-07-01,Colombia,Vivienda,No Aplica,110,2,30.0,1800.0,1.0,0.6667,8.7197,261.59,2.3781,196.19,804379.0,COP,0.1478,0.2138,0.2139,0.4246,noche,Ineficiente
REG-00090,VIV-00089,2026-07-01,Mexico,Vivienda,No Aplica,93,6,23.0,1695.0,1.0,0.6667,8.41,252.3,2.7129,189.23,3500.75,MXN,0.1276,0.1369,0.2477,0.4878,noche,Ineficiente
REG-00091,COM-00090,2026-07-01,Colombia,Comercio,Categoria C,60,12,27.0,3345.0,1.0,0.5,74.3597,2230.79,37.1798,1673.09,6859669.0,COP,0.2582,0.2278,0.257,0.257,madrugada,Eficiente
REG-00092,COM-00091,2026-07-01,Mexico,Comercio,Categoria A,116,10,33.0,1845.0,1.0,1.0,14.4737,434.21,3.7432,325.66,6024.71,MXN,0.0515,0.4131,0.398,0.1375,manana,Eficiente
REG-00093,COM-00092,2026-07-01,Chile,Comercio,Categoria B,53,12,32.0,9420.0,1.0,0.6667,77.0577,2311.73,43.6175,1733.8,1595096.0,CLP,0.1164,0.2537,0.4291,0.2008,tarde,Moderado
REG-00094,VIV-00093,2026-07-01,Brasil,Vivienda,No Aplica,108,2,20.0,1820.0,1.0,0.3333,12.352,370.56,3.4311,277.92,1514.66,BRL,0.1322,0.2075,0.2277,0.4326,noche,Ineficiente
REG-00095,COM-00094,2026-07-01,Brasil,Comercio,Categoria C,32,9,13.0,2400.0,1.0,0.5,54.882,1646.46,51.4519,1234.85,6729.93,BRL,0.22,0.2548,0.2504,0.2748,noche,Eficiente
REG-00096,COM-00095,2026-07-01,Argentina,Comercio,Categoria A,84,10,29.0,1785.0,1.0,1.0,13.4763,404.29,4.813,303.22,288059.0,ARS,0.065,0.4635,0.4529,0.0186,manana,Eficiente
REG-00097,VIV-00096,2026-07-01,Peru,Vivienda,No Aplica,64,6,17.0,1605.0,1.0,0.6667,7.839,235.17,3.6745,176.38,661.42,PEN,0.1411,0.2004,0.2029,0.4556,noche,Ineficiente
REG-00098,VIV-00097,2026-07-01,Peru,Vivienda,No Aplica,83,5,20.0,1820.0,1.0,0.3333,12.163,364.89,4.3963,273.67,1026.26,PEN,0.1359,0.197,0.2641,0.403,noche,Ineficiente
REG-00099,VIV-00098,2026-07-01,Brasil,Vivienda,No Aplica,125,3,24.0,1710.0,1.0,0.6667,8.4697,254.09,2.0327,190.57,1038.61,BRL,0.1589,0.1243,0.243,0.4738,noche,Ineficiente
REG-00100,VIV-00099,2026-07-01,Peru,Vivienda,No Aplica,111,4,19.0,1805.0,1.0,0.3333,11.633,348.99,3.1441,261.74,981.53,PEN,0.1237,0.1303,0.2341,0.5119,noche,Ineficiente
REG-00101,VIV-00100,2026-07-01,Mexico,Vivienda,No Aplica,69,3,16.0,1760.0,1.0,0.3333,11.5943,347.83,5.041,260.87,4826.1,MXN,0.1532,0.1587,0.209,0.4791,noche,Ineficiente
REG-00102,COM-00101,2026-07-01,Brasil,Comercio,Categoria A,84,4,26.0,930.0,1.0,1.0,7.374,221.22,2.6336,165.91,904.21,BRL,0.0369,0.485,0.3926,0.0854,manana,Eficiente
REG-00103,VIV-00102,2026-07-01,Colombia,Vivienda,No Aplica,108,1,14.0,1730.0,1.0,0.3333,11.4007,342.02,3.1669,256.51,1051691.0,COP,0.1581,0.2057,0.1904,0.4459,noche,Ineficiente
REG-00104,COM-00103,2026-07-01,Peru,Comercio,Categoria B,107,10,17.0,9195.0,1.0,0.3333,75.168,2255.04,21.0751,1691.28,6342.3,PEN,0.084,0.2661,0.4211,0.2288,tarde,Eficiente
REG-00105,VIV-00104,2026-07-01,Mexico,Vivienda,No Aplica,106,2,12.0,1700.0,1.0,0.3333,11.2577,337.73,3.1861,253.3,4686.05,MXN,0.0984,0.2131,0.1867,0.5018,noche,Ineficiente
REG-00106,VIV-00105,2026-07-01,Brasil,Vivienda,No Aplica,61,6,26.0,1910.0,1.0,0.3333,13.0043,390.13,6.3956,292.6,1594.67,BRL,0.1485,0.1636,0.1854,0.5025,noche,Ineficiente
REG-00107,VIV-00106,2026-07-01,Mexico,Vivienda,No Aplica,135,5,19.0,1805.0,1.0,0.3333,11.7963,353.89,2.6214,265.42,4910.27,MXN,0.1583,0.1952,0.2325,0.414,noche,Ineficiente
REG-00108,VIV-00107,2026-07-01,Brasil,Vivienda,No Aplica,115,6,17.0,1775.0,1.0,0.3333,11.829,354.87,3.0858,266.15,1450.52,BRL,0.098,0.1519,0.226,0.5241,noche,Ineficiente
REG-00109,VIV-00108,2026-07-01,Peru,Vivienda,No Aplica,104,5,30.0,1970.0,1.0,0.3333,12.7117,381.35,3.6668,286.01,1072.54,PEN,0.0859,0.1549,0.1817,0.5776,noche,Ineficiente
REG-00110,COM-00109,2026-07-01,Peru,Comercio,Categoria C,77,9,14.0,2415.0,1.0,0.5,55.2787,1658.36,21.5371,1243.77,4664.14,PEN,0.2365,0.2596,0.2294,0.2745,noche,Eficiente
REG-00111,COM-00110,2026-07-01,Brasil,Comercio,Categoria A,30,10,29.0,1785.0,1.0,1.0,13.8723,416.17,13.8723,312.13,1701.11,BRL,0.027,0.4533,0.4447,0.075,manana,Moderado
REG-00112,VIV-00111,2026-07-01,Brasil,Vivienda,No Aplica,108,6,20.0,1820.0,1.0,0.3333,12.0657,361.97,3.3516,271.48,1479.57,BRL,0.1271,0.2003,0.2105,0.462,noche,Ineficiente
REG-00113,VIV-00112,2026-07-01,Colombia,Vivienda,No Aplica,67,2,12.0,1530.0,1.0,0.6667,6.927,207.81,3.1016,155.86,639026.0,COP,0.0938,0.2122,0.2584,0.4357,noche,Moderado
REG-00114,VIV-00113,2026-07-01,Argentina,Vivienda,No Aplica,73,4,27.0,1925.0,1.0,0.3333,12.9413,388.24,5.3184,291.18,276621.0,ARS,0.1594,0.1367,0.2307,0.4732,noche,Ineficiente
REG-00115,VIV-00114,2026-07-01,Mexico,Vivienda,No Aplica,109,3,32.0,2000.0,1.0,0.3333,13.6603,409.81,3.7597,307.36,5686.16,MXN,0.1527,0.1222,0.1982,0.5269,noche,Ineficiente
REG-00116,VIV-00115,2026-07-01,Colombia,Vivienda,No Aplica,66,6,13.0,1545.0,1.0,0.6667,7.4267,222.8,3.3758,167.1,685110.0,COP,0.1262,0.1981,0.2094,0.4663,noche,Ineficiente
REG-00117,COM-00116,2026-07-01,Argentina,Comercio,Categoria B,132,5,34.0,9450.0,1.0,0.3333,76.394,2291.82,17.3623,1718.87,1632926.5,ARS,0.0551,0.2262,0.4021,0.3166,tarde,Eficiente
REG-00118,VIV-00117,2026-07-01,Brasil,Vivienda,No Aplica,88,1,24.0,1710.0,1.0,0.6667,7.9087,237.26,2.6961,177.94,969.77,BRL,0.1535,0.1806,0.2102,0.4558,noche,Ineficiente
